Target,Source,Interaction
BM7,RCH20P,0
BM7,BM16,0
BM7,RP5H,0
BM7,BM9,0
BM7,SCH11,0
BM12,KT2442,-1
BM12,RDP22,0
BM12,RDP27,-2
BM12,E5,-2
BM12,RP5,-2
BM12,BM7,0
BM12,BM12,0
BM12,BM25,-1
BM12,R23,0
BM12,S20,0
BM12,RPA1,0
BM12,RPC5,0
BM12,SH9,-1
BM12,RCH25,-4
BM12,E15,0
BM12,BM23,-1
BM12,E4,0
BM12,RPE3,0
BM12,Z2,0
BM12,RDH25,0
BM12,SCH24,0
BM12,E12,-1
BM12,BM13,0
BM12,BM1,0
BM12,SCH4,-1
BM12,BM4,0
BM12,RDH6,-1
BM12,RCH20P,-1
BM12,BM16,-1
BM12,RP5H,0
BM12,BM9,0
BM12,SCH11,0
BM25,KT2442,-1
BM25,RDP22,0
BM25,RDP27,0
BM25,E5,-1
BM25,RP5,-1
BM25,BM7,0
BM25,BM12,0
BM25,BM25,0
BM25,R23,0
BM25,S20,0
BM25,RPA1,0
BM25,RPC5,0
BM25,SH9,0
BM25,RCH25,-2
BM25,E15,0
BM25,BM23,0
BM25,E4,0
BM25,RPE3,0
BM25,Z2,0
BM25,RDH25,0
BM25,SCH24,0
BM25,E12,0
BM25,BM13,0
BM25,BM1,0
BM25,SCH4,0
BM25,BM4,-1
BM25,RDH6,-1
BM25,RCH20P,-1
BM25,BM16,-1
BM25,RP5H,0
BM25,BM9,0
BM25,SCH11,0
R23,KT2442,-1
R23,RDP22,0
R23,RDP27,-1
R23,E5,-1
R23,RP5,-2
R23,BM7,0
R23,BM12,-1
R23,BM25,-1
R23,R23,0
R23,S20,0
R23,RPA1,0
R23,RPC5,0
R23,SH9,-1
R23,RCH25,-3
R23,E15,0
R23,BM23,0
R23,E4,0
R23,RPE3,0
R23,Z2,0
R23,RDH25,0
R23,SCH24,-1
R23,E12,0
R23,BM13,0
R23,BM1,0
R23,SCH4,0
R23,BM4,0
R23,RDH6,-1
R23,RCH20P,-1
R23,BM16,-1
R23,RP5H,0
R23,BM9,0
R23,SCH11,0
S20,KT2442,-1
S20,RDP22,0
S20,RDP27,-1
S20,E5,-1
S20,RP5,-1
S20,BM7,0
S20,BM12,-1
S20,BM25,0
S20,R23,0
S20,S20,0
S20,RPA1,0
S20,RPC5,0
S20,SH9,-1
S20,RCH25,-3
S20,E15,0
S20,BM23,0
S20,E4,0
S20,RPE3,0
S20,Z2,0
S20,RDH25,0
S20,SCH24,0
S20,E12,0
S20,BM13,0
S20,BM1,0
S20,SCH4,-1
S20,BM4,0
S20,RDH6,-1
S20,RCH20P,-1
S20,BM16,-1
S20,RP5H,0
S20,BM9,0
S20,SCH11,0
RPA1,KT2442,0
RPA1,RDP22,0
RPA1,RDP27,0
RPA1,E5,0
RPA1,RP5,0
RPA1,BM7,0
RPA1,BM12,1
RPA1,BM25,1
RPA1,R23,0
RPA1,S20,0
RPA1,RPA1,0
RPA1,RPC5,0
RPA1,SH9,0
RPA1,RCH25,0
RPA1,E15,0
RPA1,BM23,0
RPA1,E4,0
RPA1,RPE3,0
RPA1,Z2,0
RPA1,RDH25,0
RPA1,SCH24,0
RPA1,E12,0
RPA1,BM13,0
RPA1,BM1,0
RPA1,SCH4,0
RPA1,BM4,0
RPA1,RDH6,-1
RPA1,RCH20P,-1
RPA1,BM16,1
RPA1,RP5H,0
RPA1,BM9,0
RPA1,SCH11,0
RPC5,KT2442,-1
RPC5,RDP22,0
RPC5,RDP27,-1
RPC5,E5,-2
RPC5,RP5,-2
RPC5,BM7,0
RPC5,BM12,-2
RPC5,BM25,5
RPC5,R23,2
RPC5,S20,2
RPC5,RPA1,-1
RPC5,RPC5,-3
RPC5,SH9,-1
RPC5,RCH25,-6
RPC5,E15,1
RPC5,BM23,1
RPC5,E4,-2
RPC5,RPE3,1
RPC5,Z2,-1
RPC5,RDH25,-3
RPC5,SCH24,-8
RPC5,E12,-2
RPC5,BM13,2
RPC5,BM1,2
RPC5,SCH4,-2
RPC5,BM4,-1
RPC5,RDH6,-1
RPC5,RCH20P,-1
RPC5,BM16,1
RPC5,RP5H,-1
RPC5,BM9,-2
RPC5,SCH11,-1
SH9,KT2442,-1
SH9,RDP22,-1
SH9,RDP27,0
SH9,E5,-1
SH9,RP5,0
SH9,BM7,0
SH9,BM12,0
SH9,BM25,0
SH9,R23,0
SH9,S20,0
SH9,RPA1,0
SH9,RPC5,0
SH9,SH9,-1
SH9,RCH25,0
SH9,E15,0
SH9,BM23,0
SH9,E4,0
SH9,RPE3,0
SH9,Z2,0
SH9,RDH25,0
SH9,SCH24,-1
SH9,E12,1
SH9,BM13,0
SH9,BM1,0
SH9,SCH4,0
SH9,BM4,0
SH9,RDH6,-2
SH9,RCH20P,-1
SH9,BM16,0
SH9,RP5H,0
SH9,BM9,0
SH9,SCH11,0
RCH25,KT2442,-2
RCH25,RDP22,-1
RCH25,RDP27,-1
RCH25,E5,-1
RCH25,RP5,-2
RCH25,BM7,-2
RCH25,BM12,-2
RCH25,BM25,-3
RCH25,R23,0
RCH25,S20,0
RCH25,RPA1,-1
RCH25,RPC5,0
RCH25,SH9,-1
RCH25,RCH25,0
RCH25,E15,-1
RCH25,BM23,-1
RCH25,E4,0
RCH25,RPE3,0
RCH25,Z2,-2
RCH25,RDH25,-1
RCH25,SCH24,-1
RCH25,E12,-1
RCH25,BM13,-1
RCH25,BM1,0
RCH25,SCH4,-3
RCH25,BM4,0
RCH25,RDH6,-4
RCH25,RCH20P,-2
RCH25,BM16,-1
RCH25,RP5H,-1
RCH25,BM9,-1
RCH25,SCH11,-1
E15,KT2442,-2
E15,RDP22,-1
E15,RDP27,0
E15,E5,-2
E15,RP5,-2
E15,BM7,0
E15,BM12,6
E15,BM25,-1
E15,R23,2
E15,S20,2
E15,RPA1,-2
E15,RPC5,0
E15,SH9,0
E15,RCH25,-3
E15,E15,3
E15,BM23,-2
E15,E4,0
E15,RPE3,-2
E15,Z2,0
E15,RDH25,-1
E15,SCH24,-2
E15,E12,-1
E15,BM13,-1
E15,BM1,0
E15,SCH4,-2
E15,BM4,0
E15,RDH6,-1
E15,RCH20P,-2
E15,BM16,-2
E15,RP5H,-5
E15,BM9,0
E15,SCH11,0
BM23,KT2442,-1
BM23,RDP22,-1
BM23,RDP27,-2
BM23,E5,-4
BM23,RP5,-2
BM23,BM7,0
BM23,BM12,3
BM23,BM25,1
BM23,R23,3
BM23,S20,1
BM23,RPA1,-1
BM23,RPC5,0
BM23,SH9,3
BM23,RCH25,-3
BM23,E15,3
BM23,BM23,-2
BM23,E4,3
BM23,RPE3,0
BM23,Z2,4
BM23,RDH25,0
BM23,SCH24,-5
BM23,E12,-1
BM23,BM13,-2
BM23,BM1,-1
BM23,SCH4,-2
BM23,BM4,-2
BM23,RDH6,-1
BM23,RCH20P,-1
BM23,BM16,-1
BM23,RP5H,-1
BM23,BM9,0
BM23,SCH11,0
E4,KT2442,-2
E4,RDP22,0
E4,RDP27,-1
E4,E5,-1
E4,RP5,-1
E4,BM7,0
E4,BM12,0
E4,BM25,0
E4,R23,-2
E4,S20,-2
E4,RPA1,0
E4,RPC5,0
E4,SH9,3
E4,RCH25,-3
E4,E15,-1
E4,BM23,-2
E4,E4,-2
E4,RPE3,0
E4,Z2,-3
E4,RDH25,-4
E4,SCH24,-10
E4,E12,-1
E4,BM13,-1
E4,BM1,-1
E4,SCH4,-1
E4,BM4,-2
E4,RDH6,-1
E4,RCH20P,-1
E4,BM16,-1
E4,RP5H,0
E4,BM9,0
E4,SCH11,0
RPE3,KT2442,-1
RPE3,RDP22,0
RPE3,RDP27,-1
RPE3,E5,-1
RPE3,RP5,-1
RPE3,BM7,0
RPE3,BM12,-1
RPE3,BM25,-1
RPE3,R23,-1
RPE3,S20,-1
RPE3,RPA1,0
RPE3,RPC5,0
RPE3,SH9,-1
RPE3,RCH25,-5
RPE3,E15,0
RPE3,BM23,0
RPE3,E4,-1
RPE3,RPE3,0
RPE3,Z2,0
RPE3,RDH25,0
RPE3,SCH24,0
RPE3,E12,-1
RPE3,BM13,0
RPE3,BM1,0
RPE3,BM4,0
RPE3,RDH6,0
RPE3,RCH20P,-1
RPE3,BM16,-1
RPE3,RP5H,0
RPE3,BM9,0
RPE3,SCH11,0
Z2,KT2442,0
Z2,RDP22,0
Z2,RDP27,0
Z2,E5,-1
Z2,RP5,-1
Z2,BM7,0
Z2,BM12,0
Z2,BM25,0
Z2,R23,0
Z2,S20,0
Z2,RPA1,-1
Z2,RPC5,0
Z2,SH9,0
Z2,RCH25,-2
Z2,E15,0
Z2,BM23,0
Z2,E4,0
Z2,RPE3,0
Z2,Z2,-1
Z2,RDH25,-1
Z2,SCH24,0
Z2,E12,0
Z2,BM13,0
Z2,BM1,3
Z2,SCH4,0
Z2,BM4,-1
Z2,RDH6,-1
Z2,RCH20P,-1
Z2,BM16,0
Z2,RP5H,0
Z2,BM9,0
Z2,SCH11,0
RDH25,KT2442,-1
RDH25,RDP22,-1
RDH25,RDP27,0
RDH25,E5,-1
RDH25,RP5,-1
RDH25,BM7,0
RDH25,BM12,0
RDH25,BM25,0
RDH25,R23,0
RDH25,S20,0
RDH25,RPA1,0
RDH25,RPC5,0
RDH25,SH9,0
RDH25,RCH25,0
RDH25,E15,0
RDH25,BM23,0
RDH25,E4,0
RDH25,RPE3,0
RDH25,Z2,0
RDH25,RDH25,0
RDH25,SCH24,-1
RDH25,E12,1
RDH25,BM13,0
RDH25,BM1,0
RDH25,SCH4,0
RDH25,BM4,0
RDH25,RDH6,-4
RDH25,RCH20P,-1
RDH25,BM16,1
RDH25,RP5H,1
RDH25,BM9,0
RDH25,SCH11,1
SCH24,KT2442,-1
SCH24,RDP22,-1
SCH24,RDP27,-2
SCH24,E5,-1
SCH24,RP5,0
SCH24,BM7,0
SCH24,BM12,0
SCH24,BM25,0
SCH24,R23,1
SCH24,S20,1
SCH24,RPA1,0
SCH24,RPC5,0
SCH24,SH9,-1
SCH24,RCH25,-2
SCH24,E15,-1
SCH24,BM23,-1
SCH24,E4,0
SCH24,RPE3,0
SCH24,Z2,2
SCH24,RDH25,0
SCH24,SCH24,0
SCH24,E12,2
SCH24,BM13,0
SCH24,BM1,0
SCH24,SCH4,0
SCH24,BM4,0
SCH24,RDH6,-3
SCH24,RCH20P,-7
SCH24,BM16,-1
SCH24,RP5H,0
SCH24,BM9,0
SCH24,SCH11,0
E12,KT2442,8
E12,RDP22,4
E12,RDP27,4
E12,E5,5
E12,RP5,5
E12,BM7,6
E12,BM12,-1
E12,BM25,6
E12,R23,3
E12,S20,7
E12,RPA1,6
E12,RPC5,5
E12,SH9,10
E12,RCH25,-1
E12,E15,2
E12,BM23,3
E12,E4,4
E12,RPE3,2
E12,Z2,3
E12,RDH25,-2
E12,SCH24,-1
E12,E12,3
E12,BM13,7
E12,BM1,2
E12,SCH4,5
E12,BM4,3
E12,RDH6,-3
E12,RCH20P,-6
E12,BM16,1
E12,RP5H,3
E12,BM9,2
E12,SCH11,5
BM13,KT2442,-2
BM13,RDP22,-1
BM13,RDP27,-1
BM13,E5,-2
BM13,RP5,-2
BM13,BM7,0
BM13,BM12,3
BM13,BM25,3
BM13,R23,0
BM13,S20,2
BM13,RPA1,0
BM13,RPC5,0
BM13,SH9,0
BM13,RCH25,-2
BM13,E15,1
BM13,BM23,2
BM13,E4,1
BM13,RPE3,2
BM13,Z2,0
BM13,RDH25,0
BM13,SCH24,-3
BM13,E12,0
BM13,BM13,0
BM13,BM1,0
BM13,SCH4,0
BM13,BM4,1
BM13,RDH6,-4
BM13,RCH20P,-1
BM13,BM16,0
BM13,RP5H,0
BM13,BM9,0
BM13,SCH11,0
BM1,KT2442,0
BM1,RDP22,-2
BM1,RDP27,1
BM1,E5,-4
BM1,RP5,-2
BM1,BM7,0
BM1,BM12,0
BM1,BM25,0
BM1,R23,1
BM1,S20,1
BM1,RPA1,0
BM1,RPC5,0
BM1,SH9,0
BM1,RCH25,-1
BM1,E15,0
BM1,BM23,0
BM1,E4,0
BM1,RPE3,0
BM1,Z2,0
BM1,RDH25,-1
BM1,SCH24,0
BM1,E12,-1
BM1,BM13,0
BM1,BM1,0
BM1,SCH4,0
BM1,BM4,0
BM1,RDH6,-3
BM1,RCH20P,-4
BM1,BM16,-2
BM1,RP5H,0
BM1,BM9,0
BM1,SCH11,0
SCH4,KT2442,-2
SCH4,RDP22,-3
SCH4,RDP27,-2
SCH4,E5,-2
SCH4,RP5,-2
SCH4,BM7,0
SCH4,BM12,0
SCH4,BM25,0
SCH4,R23,0
SCH4,S20,0
SCH4,RPA1,-2
SCH4,RPC5,0
SCH4,SH9,1
SCH4,RCH25,-3
SCH4,E15,0
SCH4,BM23,0
SCH4,E4,-2
SCH4,RPE3,0
SCH4,Z2,0
SCH4,RDH25,0
SCH4,SCH24,-4
SCH4,E12,0
SCH4,BM13,-1
SCH4,BM1,0
SCH4,SCH4,-2
SCH4,BM4,0
SCH4,RDH6,-4
SCH4,RCH20P,-6
SCH4,BM16,-4
SCH4,RP5H,0
SCH4,BM9,0
SCH4,SCH11,0
BM4,KT2442,-2
BM4,RDP22,-4
BM4,RDP27,-2
BM4,E5,-5
BM4,RP5,-4
BM4,BM7,0
BM4,BM12,0
BM4,BM25,0
BM4,R23,0
BM4,S20,0
BM4,RPA1,-2
BM4,RPC5,-2
BM4,SH9,3
BM4,RCH25,-5
BM4,E15,0
BM4,BM23,-2
BM4,E4,-2
BM4,RPE3,0
BM4,Z2,0
BM4,RDH25,0
BM4,SCH24,0
BM4,E12,0
BM4,BM13,-3
BM4,BM1,-1
BM4,SCH4,0
BM4,BM4,0
BM4,RDH6,-5
BM4,RCH20P,-7
BM4,BM16,-5
BM4,RP5H,0
BM4,BM9,0
BM4,SCH11,1
RDH6,KT2442,-2
RDH6,RDP22,0
RDH6,RDP27,-2
RDH6,E5,-1
RDH6,RP5,0
RDH6,BM7,0
RDH6,BM12,0
RDH6,BM25,0
RDH6,R23,0
RDH6,S20,-1
RDH6,RPA1,0
RDH6,RPC5,0
RDH6,SH9,0
RDH6,RCH25,-1
RDH6,E15,0
RDH6,BM23,0
RDH6,E4,0
RDH6,RPE3,0
RDH6,Z2,0
RDH6,RDH25,0
RDH6,SCH24,-4
RDH6,E12,0
RDH6,BM13,-2
RDH6,SCH4,0
RDH6,BM4,0
RDH6,RDH6,-1
RDH6,RCH20P,-2
RDH6,BM16,-2
RDH6,RP5H,0
RDH6,BM9,0
RDH6,SCH11,1
RCH20P,KT2442,-2
RCH20P,RDP22,-2
RCH20P,RDP27,-4
RCH20P,E5,-4
RCH20P,RP5,-4
RCH20P,BM7,0
RCH20P,BM12,-4
RCH20P,BM25,-3
RCH20P,R23,1
RCH20P,S20,-2
RCH20P,RPA1,0
RCH20P,RPC5,0
RCH20P,SH9,2
RCH20P,RCH25,-2
RCH20P,E15,0
RCH20P,BM23,0
RCH20P,E4,1
RCH20P,RPE3,-1
RCH20P,Z2,0
RCH20P,RDH25,0
RCH20P,SCH24,-2
RCH20P,E12,1
RCH20P,BM13,0
RCH20P,BM1,0
RCH20P,SCH4,-2
RCH20P,BM4,0
RCH20P,RDH6,-3
RCH20P,RCH20P,0
RCH20P,BM16,-2
RCH20P,RP5H,0
RCH20P,BM9,0
RCH20P,SCH11,0
BM16,KT2442,-2
BM16,RDP22,-3
BM16,RDP27,-3
BM16,E5,-3
BM16,RP5,-3
BM16,BM7,0
BM16,BM12,0
BM16,BM25,0
BM16,R23,0
BM16,S20,0
BM16,RPA1,0
BM16,RPC5,0
BM16,SH9,0
BM16,RCH25,-10
BM16,E15,0
BM16,BM23,0
BM16,E4,0
BM16,RPE3,0
BM16,Z2,0
BM16,RDH25,-1
BM16,SCH24,-4
BM16,E12,-2
BM16,BM13,0
BM16,BM1,0
BM16,SCH4,0
BM16,BM4,0
BM16,RDH6,-2
BM16,RCH20P,-3
BM16,BM16,0
BM16,RP5H,0
BM16,BM9,0
BM16,SCH11,0
RP5H,KT2442,0
RP5H,RDP22,0
RP5H,RDP27,0
RP5H,E5,0
RP5H,RP5,0
RP5H,BM7,0
RP5H,BM12,0
RP5H,BM25,0
RP5H,R23,0
RP5H,S20,0
RP5H,RPA1,0
RP5H,RPC5,0
RP5H,SH9,0
RP5H,RCH25,-2
RP5H,E15,0
RP5H,BM23,0
RP5H,E4,0
RP5H,RPE3,0
RP5H,Z2,0
RP5H,RDH25,0
RP5H,SCH24,0
RP5H,E12,0
RP5H,BM13,0
RP5H,BM1,0
RP5H,SCH4,0
RP5H,BM4,0
RP5H,RDH6,-4
RP5H,RCH20P,-10
RP5H,BM16,-4
RP5H,RP5H,0
RP5H,BM9,0
RP5H,SCH11,0
BM9,KT2442,0
BM9,RDP22,-2
BM9,RDP27,0
BM9,E5,-1
BM9,RP5,0
BM9,BM7,0
BM9,BM12,0
BM9,BM25,-2
BM9,R23,-1
BM9,S20,0
BM9,RPA1,0
BM9,RPC5,0
BM9,SH9,0
BM9,RCH25,-4
BM9,E15,0
BM9,BM23,0
BM9,E4,0
BM9,RPE3,0
BM9,Z2,0
BM9,RDH25,-1
BM9,SCH24,0
BM9,E12,0
BM9,BM13,0
BM9,BM1,0
BM9,SCH4,-1
BM9,BM4,-1
BM9,RDH6,-1
BM9,RCH20P,-5
BM9,BM16,0
BM9,RP5H,0
BM9,BM9,0
BM9,SCH11,0
SCH11,KT2442,-1
SCH11,RDP22,0
SCH11,RDP27,-1
SCH11,E5,-1
SCH11,RP5,-1
SCH11,BM7,0
SCH11,BM12,0
SCH11,BM25,-1
SCH11,R23,0
SCH11,S20,0
SCH11,RPA1,0
SCH11,RPC5,0
SCH11,SH9,-1
SCH11,RCH25,-1
SCH11,E15,0
SCH11,BM23,0
SCH11,E4,0
SCH11,RPE3,0
SCH11,Z2,0
SCH11,RDH25,-1
SCH11,SCH24,0
SCH11,E12,2
SCH11,BM13,0
SCH11,BM1,0
SCH11,SCH4,-1
SCH11,BM4,0
SCH11,RDH6,-2
SCH11,RCH20P,-1
SCH11,BM16,-1
SCH11,RP5H,0
SCH11,BM9,-1
SCH11,SCH11,-1
