Target,Source,Interaction,Inhibition,stimulation
RDP27,KT2442,0,none,none
RDP27,RDP22,0,none,none
RDP27,RDP27,0,none,none
RDP27,E5,-1,inhibition,none
RDP27,RP5,0,none,none
RDP27,BM7,0,none,none
RDP27,BM12,0,none,none
RDP27,BM25,0,none,none
RDP27,R23,0,none,none
RDP27,S20,0,none,none
RDP27,RPA1,0,none,none
RDP27,RPC5,-2,inhibition,none
RDP27,SH9,0,none,none
RDP27,RCH25,0,none,none
RDP27,E15,-1,inhibition,none
RDP27,BM23,-1,inhibition,none
RDP27,E4,0,none,none
RDP27,RPE3,0,none,none
RDP27,Z2,0,none,none
RDP27,RDH25,0,none,none
RDP27,SCH24,0,none,none
RDP27,E12,0,none,none
RDP27,BM13,0,none,none
RDP27,BM1,0,none,none
RDP27,SCH4,0,none,none
RDP27,BM4,-1,inhibition,none
RDP27,RDH6,-2,inhibition,none
RDP27,RCH20P,0,none,none
RDP27,BM16,0,none,none
RDP27,RP5H,0,none,none
RDP27,BM9,0,none,none
RDP27,SCH11,0,none,none
E5,KT2442,-2,inhibition,none
E5,RDP22,0,none,none
E5,RDP27,0,none,none
E5,E5,0,none,none
E5,RP5,0,none,none
E5,BM7,0,none,none
E5,BM12,0,none,none
E5,BM25,0,none,none
E5,R23,0,none,none
E5,S20,0,none,none
E5,RPA1,0,none,none
E5,RPC5,0,none,none
E5,SH9,3,none,stimulation
E5,RCH25,-6,inhibition,none
E5,E15,-2,inhibition,none
E5,BM23,0,none,none
E5,E4,0,none,none
E5,RPE3,0,none,none
E5,Z2,0,none,none
E5,RDH25,9,none,stimulation
E5,SCH24,8,none,stimulation
E5,E12,8,none,stimulation
E5,BM13,10,nonenone,stimulation
E5,BM1,4,none,stimulation
E5,SCH4,0,none,none
E5,BM4,0,none,none
E5,RDH6,-2,inhibition,none
E5,RCH20P,7,none,stimulation
E5,BM16,9,none,stimulation
E5,RP5H,0,none,none
E5,BM9,0,none,none
E5,SCH11,0,none,none
RP5,KT2442,-1,inhibition,none
RP5,RDP22,0,none,none
RP5,RDP27,0,none,none
RP5,E5,0,none,none
RP5,RP5,0,none,none
RP5,BM7,0,none,none
RP5,BM12,0,none,none
RP5,BM25,0,none,none
RP5,R23,0,none,none
RP5,S20,0,none,none
RP5,RPA1,0,none,none
RP5,RPC5,-1,inhibition,none
RP5,SH9,0,none,none
RP5,RCH25,-3,inhibition,none
RP5,E15,-1,inhibition,none
RP5,BM23,0,none,none
RP5,E4,0,none,none
RP5,RPE3,0,none,none
RP5,Z2,0,none,none
RP5,RDH25,0,none,none
RP5,SCH24,0,none,none
RP5,E12,0,none,none
RP5,BM13,0,none,none
RP5,BM1,0,none,none
RP5,SCH4,0,none,none
RP5,BM4,0,none,none
RP5,RDH6,0,none,none
RP5,RCH20P,-1,inhibition,none
RP5,BM16,0,none,none
RP5,RP5H,0,none,none
RP5,BM9,0,none,none
RP5,SCH11,0,none,none
BM7,KT2442,-1,inhibition,none
BM7,RDP22,0,none,none
BM7,RDP27,0,none,none
BM7,E5,-1,inhibition,none
BM7,RP5,-1,inhibition,none
BM7,BM7,0,none,none
BM7,BM12,0,none,none
BM7,BM25,0,none,none
BM7,R23,0,none,none
BM7,S20,0,none,none
BM7,RPA1,0,none,none
BM7,RPC5,0,none,none
BM7,SH9,-4,inhibition,none
BM7,RCH25,-4,inhibition,none
BM7,E15,0,none,none
BM7,BM23,0,none,none
BM7,E4,0,none,none
BM7,RPE3,0,none,none
BM7,Z2,0,none,none
BM7,RDH25,0,none,none
BM7,SCH24,0,none,none
BM7,E12,0,none,none
BM7,BM13,0,none,none
BM7,BM1,0,none,none
BM7,SCH4,0,none,none
BM7,BM4,0,none,none
BM7,RDH6,0,none,none
BM7,RCH20P,0,none,none
BM7,BM16,0,none,none
BM7,RP5H,0,none,none
BM7,BM9,0,none,none
BM7,SCH11,0,none,none
BM12,KT2442,-1,inhibition,none
BM12,RDP22,0,none,none
BM12,RDP27,-2,inhibition,none
BM12,E5,-2,inhibition,none
BM12,RP5,-2,inhibition,none
BM12,BM7,0,none,none
BM12,BM12,0,none,none
BM12,BM25,-1,inhibition,none
BM12,R23,0,none,none
BM12,S20,0,none,none
BM12,RPA1,0,none,none
BM12,RPC5,0,none,none
BM12,SH9,-1,inhibition,none
BM12,RCH25,-4,inhibition,none
BM12,E15,0,none,none
BM12,BM23,-1,inhibition,none
BM12,E4,0,none,none
BM12,RPE3,0,none,none
BM12,Z2,0,none,none
BM12,RDH25,0,none,none
BM12,SCH24,0,none,none
BM12,E12,-1,inhibition,none
BM12,BM13,0,none,none
BM12,BM1,0,none,none
BM12,SCH4,-1,inhibition,none
BM12,BM4,0,none,none
BM12,RDH6,-1,inhibition,none
BM12,RCH20P,-1,inhibition,none
BM12,BM16,-1,inhibition,none
BM12,RP5H,0,none,none
BM12,BM9,0,none,none
BM12,SCH11,0,none,none
BM25,KT2442,-1,inhibition,none
BM25,RDP22,0,none,none
BM25,RDP27,0,none,none
BM25,E5,-1,inhibition,none
BM25,RP5,-1,inhibition,none
BM25,BM7,0,none,none
BM25,BM12,0,none,none
BM25,BM25,0,none,none
BM25,R23,0,none,none
BM25,S20,0,none,none
BM25,RPA1,0,none,none
BM25,RPC5,0,none,none
BM25,SH9,0,none,none
BM25,RCH25,-2,inhibition,none
BM25,E15,0,none,none
BM25,BM23,0,none,none
BM25,E4,0,none,none
BM25,RPE3,0,none,none
BM25,Z2,0,none,none
BM25,RDH25,0,none,none
BM25,SCH24,0,none,none
BM25,E12,0,none,none
BM25,BM13,0,none,none
BM25,BM1,0,none,none
BM25,SCH4,0,none,none
BM25,BM4,-1,inhibition,none
BM25,RDH6,-1,inhibition,none
BM25,RCH20P,-1,inhibition,none
BM25,BM16,-1,inhibition,none
BM25,RP5H,0,none,none
BM25,BM9,0,none,none
BM25,SCH11,0,none,none
R23,KT2442,-1,inhibition,none
R23,RDP22,0,none,none
R23,RDP27,-1,inhibition,none
R23,E5,-1,inhibition,none
R23,RP5,-2,inhibition,none
R23,BM7,0,none,none
R23,BM12,-1,inhibition,none
R23,BM25,-1,inhibition,none
R23,R23,0,none,none
R23,S20,0,none,none
R23,RPA1,0,none,none
R23,RPC5,0,none,none
R23,SH9,-1,inhibition,none
R23,RCH25,-3,inhibition,none
R23,E15,0,none,none
R23,BM23,0,none,none
R23,E4,0,none,none
R23,RPE3,0,none,none
R23,Z2,0,none,none
R23,RDH25,0,none,none
R23,SCH24,-1,inhibition,none
R23,E12,0,none,none
R23,BM13,0,none,none
R23,BM1,0,none,none
R23,SCH4,0,none,none
R23,BM4,0,none,none
R23,RDH6,-1,inhibition,none
R23,RCH20P,-1,inhibition,none
R23,BM16,-1,inhibition,none
R23,RP5H,0,none,none
R23,BM9,0,none,none
R23,SCH11,0,none,none
S20,KT2442,-1,inhibition,none
S20,RDP22,0,none,none
S20,RDP27,-1,inhibition,none
S20,E5,-1,inhibition,none
S20,RP5,-1,inhibition,none
S20,BM7,0,none,none
S20,BM12,-1,inhibition,none
S20,BM25,0,none,none
S20,R23,0,none,none
S20,S20,0,none,none
S20,RPA1,0,none,none
S20,RPC5,0,none,none
S20,SH9,-1,inhibition,none
S20,RCH25,-3,inhibition,none
S20,E15,0,none,none
S20,BM23,0,none,none
S20,E4,0,none,none
S20,RPE3,0,none,none
S20,Z2,0,none,none
S20,RDH25,0,none,none
S20,SCH24,0,none,none
S20,E12,0,none,none
S20,BM13,0,none,none
S20,BM1,0,none,none
S20,SCH4,-1,inhibition,none
S20,BM4,0,none,none
S20,RDH6,-1,inhibition,none
S20,RCH20P,-1,inhibition,none
S20,BM16,-1,inhibition,none
S20,RP5H,0,none,none
S20,BM9,0,none,none
S20,SCH11,0,none,none
RPA1,KT2442,0,none,none
RPA1,RDP22,0,none,none
RPA1,RDP27,0,none,none
RPA1,E5,0,none,none
RPA1,RP5,0,none,none
RPA1,BM7,0,none,none
RPA1,BM12,1,none,stimulation
RPA1,BM25,1,none,stimulation
RPA1,R23,0,none,none
RPA1,S20,0,none,none
RPA1,RPA1,0,none,none
RPA1,RPC5,0,none,none
RPA1,SH9,0,none,none
RPA1,RCH25,0,none,none
RPA1,E15,0,none,none
RPA1,BM23,0,none,none
RPA1,E4,0,none,none
RPA1,RPE3,0,none,none
RPA1,Z2,0,none,none
RPA1,RDH25,0,none,none
RPA1,SCH24,0,none,none
RPA1,E12,0,none,none
RPA1,BM13,0,none,none
RPA1,BM1,0,none,none
RPA1,SCH4,0,none,none
RPA1,BM4,0,none,none
RPA1,RDH6,-1,inhibition,none
RPA1,RCH20P,-1,inhibition,none
RPA1,BM16,1,none,stimulation
RPA1,RP5H,0,none,none
RPA1,BM9,0,none,none
RPA1,SCH11,0,none,none
RPC5,KT2442,-1,inhibition,none
RPC5,RDP22,0,none,none
RPC5,RDP27,-1,inhibition,none
RPC5,E5,-2,inhibition,none
RPC5,RP5,-2,inhibition,none
RPC5,BM7,0,none,none
RPC5,BM12,-2,inhibition,none
RPC5,BM25,5,none,stimulation
RPC5,R23,2,none,stimulation
RPC5,S20,2,none,stimulation
RPC5,RPA1,-1,inhibition,none
RPC5,RPC5,-3,inhibition,none
RPC5,SH9,-1,inhibition,none
RPC5,RCH25,-6,inhibition,none
RPC5,E15,1,none,stimulation
RPC5,BM23,1,none,stimulation
RPC5,E4,-2,inhibition,none
RPC5,RPE3,1,none,stimulation
RPC5,Z2,-1,inhibition,none
RPC5,RDH25,-3,inhibition,none
RPC5,SCH24,-8,inhibition,none
RPC5,E12,-2,inhibition,none
RPC5,BM13,2,none,stimulation
RPC5,BM1,2,none,stimulation
RPC5,SCH4,-2,inhibition,none
RPC5,BM4,-1,inhibition,none
RPC5,RDH6,-1,inhibition,none
RPC5,RCH20P,-1,inhibition,none
RPC5,BM16,1,none,stimulation
RPC5,RP5H,-1,inhibition,none
RPC5,BM9,-2,inhibition,none
RPC5,SCH11,-1,inhibition,none
SH9,KT2442,-1,inhibition,none
SH9,RDP22,-1,inhibition,none
SH9,RDP27,0,none,none
SH9,E5,-1,inhibition,none
SH9,RP5,0,none,none
SH9,BM7,0,none,none
SH9,BM12,0,none,none
SH9,BM25,0,none,none
SH9,R23,0,none,none
SH9,S20,0,none,none
SH9,RPA1,0,none,none
SH9,RPC5,0,none,none
SH9,SH9,-1,inhibition,none
SH9,RCH25,0,none,none
SH9,E15,0,none,none
SH9,BM23,0,none,none
SH9,E4,0,none,none
SH9,RPE3,0,none,none
SH9,Z2,0,none,none
SH9,RDH25,0,none,none
SH9,SCH24,-1,inhibition,none
SH9,E12,1,none,stimulation
SH9,BM13,0,none,none
SH9,BM1,0,none,none
SH9,SCH4,0,none,none
SH9,BM4,0,none,none
SH9,RDH6,-2,inhibition,none
SH9,RCH20P,-1,inhibition,none
SH9,BM16,0,none,none
SH9,RP5H,0,none,none
SH9,BM9,0,none,none
SH9,SCH11,0,none,none
RCH25,KT2442,-2,inhibition,none
RCH25,RDP22,-1,inhibition,none
RCH25,RDP27,-1,inhibition,none
RCH25,E5,-1,inhibition,none
RCH25,RP5,-2,inhibition,none
RCH25,BM7,-2,inhibition,none
RCH25,BM12,-2,inhibition,none
RCH25,BM25,-3,inhibition,none
RCH25,R23,0,none,none
RCH25,S20,0,none,none
RCH25,RPA1,-1,inhibition,none
RCH25,RPC5,0,none,none
RCH25,SH9,-1,inhibition,none
RCH25,RCH25,0,none,none
RCH25,E15,-1,inhibition,none
RCH25,BM23,-1,inhibition,none
RCH25,E4,0,none,none
RCH25,RPE3,0,none,none
RCH25,Z2,-2,inhibition,none
RCH25,RDH25,-1,inhibition,none
RCH25,SCH24,-1,inhibition,none
RCH25,E12,-1,inhibition,none
RCH25,BM13,-1,inhibition,none
RCH25,BM1,0,none,none
RCH25,SCH4,-3,inhibition,none
RCH25,BM4,0,none,none
RCH25,RDH6,-4,inhibition,none
RCH25,RCH20P,-2,inhibition,none
RCH25,BM16,-1,inhibition,none
RCH25,RP5H,-1,inhibition,none
RCH25,BM9,-1,inhibition,none
RCH25,SCH11,-1,inhibition,none
E15,KT2442,-2,inhibition,none
E15,RDP22,-1,inhibition,none
E15,RDP27,0,none,none
E15,E5,-2,inhibition,none
E15,RP5,-2,inhibition,none
E15,BM7,0,none,none
E15,BM12,6,none,stimulation
E15,BM25,-1,inhibition,none
E15,R23,2,none,stimulation
E15,S20,2,none,stimulation
E15,RPA1,-2,inhibition,none
E15,RPC5,0,none,none
E15,SH9,0,none,none
E15,RCH25,-3,inhibition,none
E15,E15,3,none,stimulation
E15,BM23,-2,inhibition,none
E15,E4,0,none,none
E15,RPE3,-2,inhibition,none
E15,Z2,0,none,none
E15,RDH25,-1,inhibition,none
E15,SCH24,-2,inhibition,none
E15,E12,-1,inhibition,none
E15,BM13,-1,inhibition,none
E15,BM1,0,none,none
E15,SCH4,-2,inhibition,none
E15,BM4,0,none,none
E15,RDH6,-1,inhibition,none
E15,RCH20P,-2,inhibition,none
E15,BM16,-2,inhibition,none
E15,RP5H,-5,inhibition,none
E15,BM9,0,none,none
E15,SCH11,0,none,none
BM23,KT2442,-1,inhibition,none
BM23,RDP22,-1,inhibition,none
BM23,RDP27,-2,inhibition,none
BM23,E5,-4,inhibition,none
BM23,RP5,-2,inhibition,none
BM23,BM7,0,none,none
BM23,BM12,3,none,stimulation
BM23,BM25,1,none,stimulation
BM23,R23,3,none,stimulation
BM23,S20,1,none,stimulation
BM23,RPA1,-1,inhibition,none
BM23,RPC5,0,none,none
BM23,SH9,3,none,stimulation
BM23,RCH25,-3,inhibition,none
BM23,E15,3,none,stimulation
BM23,BM23,-2,inhibition,none
BM23,E4,3,none,stimulation
BM23,RPE3,0,none,none
BM23,Z2,4,none,stimulation
BM23,RDH25,0,none,none
BM23,SCH24,-5,inhibition,none
BM23,E12,-1,inhibition,none
BM23,BM13,-2,inhibition,none
BM23,BM1,-1,inhibition,none
BM23,SCH4,-2,inhibition,none
BM23,BM4,-2,inhibition,none
BM23,RDH6,-1,inhibition,none
BM23,RCH20P,-1,inhibition,none
BM23,BM16,-1,inhibition,none
BM23,RP5H,-1,inhibition,none
BM23,BM9,0,none,none
BM23,SCH11,0,none,none
E4,KT2442,-2,inhibition,none
E4,RDP22,0,none,none
E4,RDP27,-1,inhibition,none
E4,E5,-1,inhibition,none
E4,RP5,-1,inhibition,none
E4,BM7,0,none,none
E4,BM12,0,none,none
E4,BM25,0,none,none
E4,R23,-2,inhibition,none
E4,S20,-2,inhibition,none
E4,RPA1,0,none,none
E4,RPC5,0,none,none
E4,SH9,3,none,stimulation
E4,RCH25,-3,inhibition,none
E4,E15,-1,inhibition,none
E4,BM23,-2,inhibition,none
E4,E4,-2,inhibition,none
E4,RPE3,0,none,none
E4,Z2,-3,inhibition,none
E4,RDH25,-4,inhibition,none
E4,SCH24,-10,inhibition,none
E4,E12,-1,inhibition,none
E4,BM13,-1,inhibition,none
E4,BM1,-1,inhibition,none
E4,SCH4,-1,inhibition,none
E4,BM4,-2,inhibition,none
E4,RDH6,-1,inhibition,none
E4,RCH20P,-1,inhibition,none
E4,BM16,-1,inhibition,none
E4,RP5H,0,none,none
E4,BM9,0,none,none
E4,SCH11,0,none,none
RPE3,KT2442,-1,inhibition,none
RPE3,RDP22,0,none,none
RPE3,RDP27,-1,inhibition,none
RPE3,E5,-1,inhibition,none
RPE3,RP5,-1,inhibition,none
RPE3,BM7,0,none,none
RPE3,BM12,-1,inhibition,none
RPE3,BM25,-1,inhibition,none
RPE3,R23,-1,inhibition,none
RPE3,S20,-1,inhibition,none
RPE3,RPA1,0,none,none
RPE3,RPC5,0,none,none
RPE3,SH9,-1,inhibition,none
RPE3,RCH25,-5,inhibition,none
RPE3,E15,0,none,none
RPE3,BM23,0,none,none
RPE3,E4,-1,inhibition,none
RPE3,RPE3,0,none,none
RPE3,Z2,0,none,none
RPE3,RDH25,0,none,none
RPE3,SCH24,0,none,none
RPE3,E12,-1,inhibition,none
RPE3,BM13,0,none,none
RPE3,BM1,0,none,none
RPE3,BM4,0,none,none
RPE3,RDH6,0,none,none
RPE3,RCH20P,-1,inhibition,none
RPE3,BM16,-1,inhibition,none
RPE3,RP5H,0,none,none
RPE3,BM9,0,none,none
RPE3,SCH11,0,none,none
Z2,KT2442,0,none,none
Z2,RDP22,0,none,none
Z2,RDP27,0,none,none
Z2,E5,-1,inhibition,none
Z2,RP5,-1,inhibition,none
Z2,BM7,0,none,none
Z2,BM12,0,none,none
Z2,BM25,0,none,none
Z2,R23,0,none,none
Z2,S20,0,none,none
Z2,RPA1,-1,inhibition,none
Z2,RPC5,0,none,none
Z2,SH9,0,none,none
Z2,RCH25,-2,inhibition,none
Z2,E15,0,none,none
Z2,BM23,0,none,none
Z2,E4,0,none,none
Z2,RPE3,0,none,none
Z2,Z2,-1,inhibition,none
Z2,RDH25,-1,inhibition,none
Z2,SCH24,0,none,none
Z2,E12,0,none,none
Z2,BM13,0,none,none
Z2,BM1,3,none,stimulation
Z2,SCH4,0,none,none
Z2,BM4,-1,inhibition,none
Z2,RDH6,-1,inhibition,none
Z2,RCH20P,-1,inhibition,none
Z2,BM16,0,none,none
Z2,RP5H,0,none,none
Z2,BM9,0,none,none
Z2,SCH11,0,none,none
RDH25,KT2442,-1,inhibition,none
RDH25,RDP22,-1,inhibition,none
RDH25,RDP27,0,none,none
RDH25,E5,-1,inhibition,none
RDH25,RP5,-1,inhibition,none
RDH25,BM7,0,none,none
RDH25,BM12,0,none,none
RDH25,BM25,0,none,none
RDH25,R23,0,none,none
RDH25,S20,0,none,none
RDH25,RPA1,0,none,none
RDH25,RPC5,0,none,none
RDH25,SH9,0,none,none
RDH25,RCH25,0,none,none
RDH25,E15,0,none,none
RDH25,BM23,0,none,none
RDH25,E4,0,none,none
RDH25,RPE3,0,none,none
RDH25,Z2,0,none,none
RDH25,RDH25,0,none,none
RDH25,SCH24,-1,inhibition,none
RDH25,E12,1,none,stimulation
RDH25,BM13,0,none,none
RDH25,BM1,0,none,none
RDH25,SCH4,0,none,none
RDH25,BM4,0,none,none
RDH25,RDH6,-4,inhibition,none
RDH25,RCH20P,-1,inhibition,none
RDH25,BM16,1,none,stimulation
RDH25,RP5H,1,none,stimulation
RDH25,BM9,0,none,none
RDH25,SCH11,1,none,stimulation
SCH24,KT2442,-1,inhibition,none
SCH24,RDP22,-1,inhibition,none
SCH24,RDP27,-2,inhibition,none
SCH24,E5,-1,inhibition,none
SCH24,RP5,0,none,none
SCH24,BM7,0,none,none
SCH24,BM12,0,none,none
SCH24,BM25,0,none,none
SCH24,R23,1,none,stimulation
SCH24,S20,1,none,stimulation
SCH24,RPA1,0,none,none
SCH24,RPC5,0,none,none
SCH24,SH9,-1,inhibition,none
SCH24,RCH25,-2,inhibition,none
SCH24,E15,-1,inhibition,none
SCH24,BM23,-1,inhibition,none
SCH24,E4,0,none,none
SCH24,RPE3,0,none,none
SCH24,Z2,2,none,stimulation
SCH24,RDH25,0,none,none
SCH24,SCH24,0,none,none
SCH24,E12,2,none,stimulation
SCH24,BM13,0,none,none
SCH24,BM1,0,none,none
SCH24,SCH4,0,none,none
SCH24,BM4,0,none,none
SCH24,RDH6,-3,inhibition,none
SCH24,RCH20P,-7,inhibition,none
SCH24,BM16,-1,inhibition,none
SCH24,RP5H,0,none,none
SCH24,BM9,0,none,none
SCH24,SCH11,0,none,none
E12,KT2442,8,none,stimulation
E12,RDP22,4,none,stimulation
E12,RDP27,4,none,stimulation
E12,E5,5,none,stimulation
E12,RP5,5,none,stimulation
E12,BM7,6,none,stimulation
E12,BM12,-1,inhibition,none
E12,BM25,6,none,stimulation
E12,R23,3,none,stimulation
E12,S20,7,none,stimulation
E12,RPA1,6,none,stimulation
E12,RPC5,5,none,stimulation
E12,SH9,10,nonenone,stimulation
E12,RCH25,-1,inhibition,none
E12,E15,2,none,stimulation
E12,BM23,3,none,stimulation
E12,E4,4,none,stimulation
E12,RPE3,2,none,stimulation
E12,Z2,3,none,stimulation
E12,RDH25,-2,inhibition,none
E12,SCH24,-1,inhibition,none
E12,E12,3,none,stimulation
E12,BM13,7,none,stimulation
E12,BM1,2,none,stimulation
E12,SCH4,5,none,stimulation
E12,BM4,3,none,stimulation
E12,RDH6,-3,inhibition,none
E12,RCH20P,-6,inhibition,none
E12,BM16,1,none,stimulation
E12,RP5H,3,none,stimulation
E12,BM9,2,none,stimulation
E12,SCH11,5,none,stimulation
BM13,KT2442,-2,inhibition,none
BM13,RDP22,-1,inhibition,none
BM13,RDP27,-1,inhibition,none
BM13,E5,-2,inhibition,none
BM13,RP5,-2,inhibition,none
BM13,BM7,0,none,none
BM13,BM12,3,none,stimulation
BM13,BM25,3,none,stimulation
BM13,R23,0,none,none
BM13,S20,2,none,stimulation
BM13,RPA1,0,none,none
BM13,RPC5,0,none,none
BM13,SH9,0,none,none
BM13,RCH25,-2,inhibition,none
BM13,E15,1,none,stimulation
BM13,BM23,2,none,stimulation
BM13,E4,1,none,stimulation
BM13,RPE3,2,none,stimulation
BM13,Z2,0,none,none
BM13,RDH25,0,none,none
BM13,SCH24,-3,inhibition,none
BM13,E12,0,none,none
BM13,BM13,0,none,none
BM13,BM1,0,none,none
BM13,SCH4,0,none,none
BM13,BM4,1,none,stimulation
BM13,RDH6,-4,inhibition,none
BM13,RCH20P,-1,inhibition,none
BM13,BM16,0,none,none
BM13,RP5H,0,none,none
BM13,BM9,0,none,none
BM13,SCH11,0,none,none
BM1,KT2442,0,none,none
BM1,RDP22,-2,inhibition,none
BM1,RDP27,1,none,stimulation
BM1,E5,-4,inhibition,none
BM1,RP5,-2,inhibition,none
BM1,BM7,0,none,none
BM1,BM12,0,none,none
BM1,BM25,0,none,none
BM1,R23,1,none,stimulation
BM1,S20,1,none,stimulation
BM1,RPA1,0,none,none
BM1,RPC5,0,none,none
BM1,SH9,0,none,none
BM1,RCH25,-1,inhibition,none
BM1,E15,0,none,none
BM1,BM23,0,none,none
BM1,E4,0,none,none
BM1,RPE3,0,none,none
BM1,Z2,0,none,none
BM1,RDH25,-1,inhibition,none
BM1,SCH24,0,none,none
BM1,E12,-1,inhibition,none
BM1,BM13,0,none,none
BM1,BM1,0,none,none
BM1,SCH4,0,none,none
BM1,BM4,0,none,none
BM1,RDH6,-3,inhibition,none
BM1,RCH20P,-4,inhibition,none
BM1,BM16,-2,inhibition,none
BM1,RP5H,0,none,none
BM1,BM9,0,none,none
BM1,SCH11,0,none,none
SCH4,KT2442,-2,inhibition,none
SCH4,RDP22,-3,inhibition,none
SCH4,RDP27,-2,inhibition,none
SCH4,E5,-2,inhibition,none
SCH4,RP5,-2,inhibition,none
SCH4,BM7,0,none,none
SCH4,BM12,0,none,none
SCH4,BM25,0,none,none
SCH4,R23,0,none,none
SCH4,S20,0,none,none
SCH4,RPA1,-2,inhibition,none
SCH4,RPC5,0,none,none
SCH4,SH9,1,none,stimulation
SCH4,RCH25,-3,inhibition,none
SCH4,E15,0,none,none
SCH4,BM23,0,none,none
SCH4,E4,-2,inhibition,none
SCH4,RPE3,0,none,none
SCH4,Z2,0,none,none
SCH4,RDH25,0,none,none
SCH4,SCH24,-4,inhibition,none
SCH4,E12,0,none,none
SCH4,BM13,-1,inhibition,none
SCH4,BM1,0,none,none
SCH4,SCH4,-2,inhibition,none
SCH4,BM4,0,none,none
SCH4,RDH6,-4,inhibition,none
SCH4,RCH20P,-6,inhibition,none
SCH4,BM16,-4,inhibition,none
SCH4,RP5H,0,none,none
SCH4,BM9,0,none,none
SCH4,SCH11,0,none,none
BM4,KT2442,-2,inhibition,none
BM4,RDP22,-4,inhibition,none
BM4,RDP27,-2,inhibition,none
BM4,E5,-5,inhibition,none
BM4,RP5,-4,inhibition,none
BM4,BM7,0,none,none
BM4,BM12,0,none,none
BM4,BM25,0,none,none
BM4,R23,0,none,none
BM4,S20,0,none,none
BM4,RPA1,-2,inhibition,none
BM4,RPC5,-2,inhibition,none
BM4,SH9,3,none,stimulation
BM4,RCH25,-5,inhibition,none
BM4,E15,0,none,none
BM4,BM23,-2,inhibition,none
BM4,E4,-2,inhibition,none
BM4,RPE3,0,none,none
BM4,Z2,0,none,none
BM4,RDH25,0,none,none
BM4,SCH24,0,none,none
BM4,E12,0,none,none
BM4,BM13,-3,inhibition,none
BM4,BM1,-1,inhibition,none
BM4,SCH4,0,none,none
BM4,BM4,0,none,none
BM4,RDH6,-5,inhibition,none
BM4,RCH20P,-7,inhibition,none
BM4,BM16,-5,inhibition,none
BM4,RP5H,0,none,none
BM4,BM9,0,none,none
BM4,SCH11,1,none,stimulation
RDH6,KT2442,-2,inhibition,none
RDH6,RDP22,0,none,none
RDH6,RDP27,-2,inhibition,none
RDH6,E5,-1,inhibition,none
RDH6,RP5,0,none,none
RDH6,BM7,0,none,none
RDH6,BM12,0,none,none
RDH6,BM25,0,none,none
RDH6,R23,0,none,none
RDH6,S20,-1,inhibition,none
RDH6,RPA1,0,none,none
RDH6,RPC5,0,none,none
RDH6,SH9,0,none,none
RDH6,RCH25,-1,inhibition,none
RDH6,E15,0,none,none
RDH6,BM23,0,none,none
RDH6,E4,0,none,none
RDH6,RPE3,0,none,none
RDH6,Z2,0,none,none
RDH6,RDH25,0,none,none
RDH6,SCH24,-4,inhibition,none
RDH6,E12,0,none,none
RDH6,BM13,-2,inhibition,none
RDH6,SCH4,0,none,none
RDH6,BM4,0,none,none
RDH6,RDH6,-1,inhibition,none
RDH6,RCH20P,-2,inhibition,none
RDH6,BM16,-2,inhibition,none
RDH6,RP5H,0,none,none
RDH6,BM9,0,none,none
RDH6,SCH11,1,none,stimulation
RCH20P,KT2442,-2,inhibition,none
RCH20P,RDP22,-2,inhibition,none
