,Strain_ID,name,value,Spot,MediaTime,Lawn,Media,Fe,Time,Dataset
128,Bacillus_SCH24,Exiguobacterium_RDH25,2,Exiguobacterium_RDH25,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
353,Bacillus_SCH24,Exiguobacterium_RDH25,2,Exiguobacterium_RDH25,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
572,Bacillus_SCH24,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
797,Bacillus_SCH24,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
122,Bacillus_SCH24,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
347,Bacillus_SCH24,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
576,Bacillus_SCH24,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
801,Bacillus_SCH24,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
126,Bacillus_SCH24,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
351,Bacillus_SCH24,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
582,Bacillus_SCH24,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
807,Bacillus_SCH24,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
132,Bacillus_SCH24,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
357,Bacillus_SCH24,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
580,Bacillus_SCH24,Paenibacillus_E12,0,Paenibacillus_E12,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
805,Bacillus_SCH24,Paenibacillus_E12,0,Paenibacillus_E12,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
130,Bacillus_SCH24,Paenibacillus_E12,-1,Paenibacillus_E12,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
355,Bacillus_SCH24,Paenibacillus_E12,-1,Paenibacillus_E12,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
571,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
796,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
121,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
346,Bacillus_SCH24,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
577,Bacillus_SCH24,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
802,Bacillus_SCH24,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
127,Bacillus_SCH24,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
352,Bacillus_SCH24,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
583,Bacillus_SCH24,Streptomyces_RCH20P,-4,Streptomyces_RCH20P,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
808,Bacillus_SCH24,Streptomyces_RCH20P,-4,Streptomyces_RCH20P,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
133,Bacillus_SCH24,Streptomyces_RCH20P,-8,Streptomyces_RCH20P,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
358,Bacillus_SCH24,Streptomyces_RCH20P,-6,Streptomyces_RCH20P,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
573,Bacillus_SCH24,Variovax_RPC5,0,Variovax_RPC5,"1/2 TSA + Fe, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
798,Bacillus_SCH24,Variovax_RPC5,0,Variovax_RPC5,"1/2 TSA + Fe, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
123,Bacillus_SCH24,Variovax_RPC5,0,Variovax_RPC5,"1/2 TSA, 48h",Bacillus_SCH24,1/2 TSA,#NAME?,48h,Hannah
348,Bacillus_SCH24,Variovax_RPC5,0,Variovax_RPC5,"1/2 TSA, 96h",Bacillus_SCH24,1/2 TSA,#NAME?,96h,Hannah
504,Burkholderia_RCH25,Bacillus_SCH24,-2,Bacillus_SCH24,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
729,Burkholderia_RCH25,Bacillus_SCH24,0,Bacillus_SCH24,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
54,Burkholderia_RCH25,Bacillus_SCH24,3,Bacillus_SCH24,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
279,Burkholderia_RCH25,Bacillus_SCH24,0,Bacillus_SCH24,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
499,Burkholderia_RCH25,Burkholderia_RCH25,-2,Burkholderia_RCH25,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
724,Burkholderia_RCH25,Burkholderia_RCH25,-1,Burkholderia_RCH25,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
49,Burkholderia_RCH25,Burkholderia_RCH25,0,Burkholderia_RCH25,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
274,Burkholderia_RCH25,Burkholderia_RCH25,0,Burkholderia_RCH25,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
506,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
731,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
56,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
281,Burkholderia_RCH25,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
510,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
735,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
60,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
285,Burkholderia_RCH25,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
509,Burkholderia_RCH25,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
734,Burkholderia_RCH25,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
59,Burkholderia_RCH25,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
284,Burkholderia_RCH25,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
500,Burkholderia_RCH25,Ensifer_sp,0,Ensifer_sp,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
725,Burkholderia_RCH25,Ensifer_sp,0,Ensifer_sp,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
50,Burkholderia_RCH25,Ensifer_sp,0,Ensifer_sp,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
275,Burkholderia_RCH25,Ensifer_sp,0,Ensifer_sp,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
503,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
728,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
53,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
278,Burkholderia_RCH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
497,Burkholderia_RCH25,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
722,Burkholderia_RCH25,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
47,Burkholderia_RCH25,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
272,Burkholderia_RCH25,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
501,Burkholderia_RCH25,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
726,Burkholderia_RCH25,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
51,Burkholderia_RCH25,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
276,Burkholderia_RCH25,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
507,Burkholderia_RCH25,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
732,Burkholderia_RCH25,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
57,Burkholderia_RCH25,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
282,Burkholderia_RCH25,Microbacterium_BM4,0,Microbacterium_BM4,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
505,Burkholderia_RCH25,Paenibacillus_E12,0,Paenibacillus_E12,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
730,Burkholderia_RCH25,Paenibacillus_E12,0,Paenibacillus_E12,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
55,Burkholderia_RCH25,Paenibacillus_E12,-1,Paenibacillus_E12,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
280,Burkholderia_RCH25,Paenibacillus_E12,-1,Paenibacillus_E12,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
496,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
721,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
46,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-2,Pseudomonas_putida_KT2442,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
271,Burkholderia_RCH25,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
502,Burkholderia_RCH25,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
727,Burkholderia_RCH25,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
52,Burkholderia_RCH25,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
277,Burkholderia_RCH25,Sphingobium_Z2,0,Sphingobium_Z2,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
508,Burkholderia_RCH25,Streptomyces_RCH20P,NA,Streptomyces_RCH20P,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
733,Burkholderia_RCH25,Streptomyces_RCH20P,NA,Streptomyces_RCH20P,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
58,Burkholderia_RCH25,Streptomyces_RCH20P,0,Streptomyces_RCH20P,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
283,Burkholderia_RCH25,Streptomyces_RCH20P,0,Streptomyces_RCH20P,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
498,Burkholderia_RCH25,Variovax_RPC5,-1,Variovax_RPC5,"1/2 TSA + Fe, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
723,Burkholderia_RCH25,Variovax_RPC5,-1,Variovax_RPC5,"1/2 TSA + Fe, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
48,Burkholderia_RCH25,Variovax_RPC5,0,Variovax_RPC5,"1/2 TSA, 48h",Burkholderia_RCH25,1/2 TSA,#NAME?,48h,Hannah
273,Burkholderia_RCH25,Variovax_RPC5,0,Variovax_RPC5,"1/2 TSA, 96h",Burkholderia_RCH25,1/2 TSA,#NAME?,96h,Hannah
609,Cellulosimicrobium_BM1,Bacillus_SCH24,-4,Bacillus_SCH24,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
834,Cellulosimicrobium_BM1,Bacillus_SCH24,-4,Bacillus_SCH24,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
159,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,Bacillus_SCH24,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
384,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,Bacillus_SCH24,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
604,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,Burkholderia_RCH25,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
829,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,Burkholderia_RCH25,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
154,Cellulosimicrobium_BM1,Burkholderia_RCH25,-4,Burkholderia_RCH25,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
379,Cellulosimicrobium_BM1,Burkholderia_RCH25,-4,Burkholderia_RCH25,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
611,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
836,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
161,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,-1,Cellulosimicrobium_BM1,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
386,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,-1,Cellulosimicrobium_BM1,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
615,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
840,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
165,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,Chryseobacterium_SCH11,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
390,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
614,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
839,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
164,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
389,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Dyadobacter_BM9,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
605,Cellulosimicrobium_BM1,Ensifer_sp,0,Ensifer_sp,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
830,Cellulosimicrobium_BM1,Ensifer_sp,0,Ensifer_sp,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
155,Cellulosimicrobium_BM1,Ensifer_sp,0,Ensifer_sp,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
380,Cellulosimicrobium_BM1,Ensifer_sp,0,Ensifer_sp,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
608,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
833,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
158,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
383,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
602,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
827,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
152,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
377,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Luteibacter_BM7,"1/2 TSA, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
606,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA + Fe, 48h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,48h,Hannah
831,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,Methylobacterium_RPE3,"1/2 TSA + Fe, 96h",Cellulosimicrobium_BM1,1/2 TSA,#NAME?,96h,Hannah
