,Strain.ID,name,value HB,,,,Strain_ID,name,value MRS,,,value HB,value MRS,Diff,Interpretation,,,,
29,Burkholderia_RCH25,Streptomyces_RCH20P,NA,,,29,Burkholderia_RCH25,Streptomyces_RCH20P,0,,,NA,0,NA,NA,,,,
30,Burkholderia_RCH25,Variovax_RPC5,-1,,,30,Burkholderia_RCH25,Variovax_RPC5,0,,,-1,0,1,CloseEnough,,,,
31,Cellulosimicrobium_BM1,Bacillus_SCH24,-4,,,31,Cellulosimicrobium_BM1,Bacillus_SCH24,-3,,,-4,-3,1,CloseEnough,,,,
32,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,,,32,Cellulosimicrobium_BM1,Burkholderia_RCH25,-2,,,-1,-2,1,CloseEnough,,,,
33,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,,,33,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,-1,,,0,-1,1,CloseEnough,,,,
34,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,,,34,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,-1,,,0,-1,1,CloseEnough,,,,
35,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,,,35,Cellulosimicrobium_BM1,Dyadobacter_BM9,-1,,,0,-1,1,CloseEnough,,,,
36,Cellulosimicrobium_BM1,Ensifer_sp,0,,,36,Cellulosimicrobium_BM1,Ensifer_BM17,1,,,0,1,1,OneStim,,,,
37,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,,,37,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
38,Cellulosimicrobium_BM1,Luteibacter_BM7,0,,,38,Cellulosimicrobium_BM1,Luteibacter_BM7,1,,,0,1,1,OneStim,,,,
39,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,,,39,Cellulosimicrobium_BM1,Methylobacterium_RPE3,1,,,0,1,1,OneStim,,,,
40,Cellulosimicrobium_BM1,Microbacterium_BM4,0,,,40,Cellulosimicrobium_BM1,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
41,Cellulosimicrobium_BM1,Paenibacillus_E12,-1,,,41,Cellulosimicrobium_BM1,Paenibacillus_E12,-1,,,-1,-1,0,Identical,,,,
42,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,,,42,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
43,Cellulosimicrobium_BM1,Sphingobium_Z2,0,,,43,Cellulosimicrobium_BM1,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
44,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-2,,,44,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-2,,,-2,-2,0,Identical,,,,
45,Cellulosimicrobium_BM1,Variovax_RPC5,0,,,45,Cellulosimicrobium_BM1,Variovax_RPC5,1,,,0,1,1,OneStim,,,,
46,Chryseobacterium_SCH11,Bacillus_SCH24,-2,,,46,Chryseobacterium_SCH11,Bacillus_SCH24,-2,,,-2,-2,0,Identical,,,,
47,Chryseobacterium_SCH11,Burkholderia_RCH25,0,,,47,Chryseobacterium_SCH11,Burkholderia_RCH25,-1,,,0,-1,1,CloseEnough,,,,
48,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,,,48,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
49,Chryseobacterium_SCH11,Chryseobacterium_SCH11,0,,,49,Chryseobacterium_SCH11,Chryseobacterium_SCH11,-2,,,0,-2,2,CloseEnough,,,,
50,Chryseobacterium_SCH11,Dyadobacter_BM9,0,,,50,Chryseobacterium_SCH11,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
51,Chryseobacterium_SCH11,Ensifer_sp,0,,,51,Chryseobacterium_SCH11,Ensifer_BM17,0,,,0,0,0,Identical,,,,
52,Chryseobacterium_SCH11,Exiguobacterium_RDH25,0,,,52,Chryseobacterium_SCH11,Exiguobacterium_RDH25,-1,,,0,-1,1,CloseEnough,,,,
53,Chryseobacterium_SCH11,Luteibacter_BM7,0,,,53,Chryseobacterium_SCH11,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
54,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,,,54,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
55,Chryseobacterium_SCH11,Microbacterium_BM4,0,,,55,Chryseobacterium_SCH11,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
56,Chryseobacterium_SCH11,Paenibacillus_E12,0,,,56,Chryseobacterium_SCH11,Paenibacillus_E12,1,,,0,1,1,OneStim,,,,
57,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,0,,,57,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
58,Chryseobacterium_SCH11,Sphingobium_Z2,0,,,58,Chryseobacterium_SCH11,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
59,Chryseobacterium_SCH11,Streptomyces_RCH20P,0,,,59,Chryseobacterium_SCH11,Streptomyces_RCH20P,-2,,,0,-2,2,CloseEnough,,,,
60,Chryseobacterium_SCH11,Variovax_RPC5,NA,,,60,Chryseobacterium_SCH11,Variovax_RPC5,0,,,NA,0,NA,NA,,,,
61,Dyadobacter_BM9,Bacillus_SCH24,-2,,,61,Dyadobacter_BM9,Bacillus_SCH24,0,,,-2,0,2,CloseEnough,,,,
62,Dyadobacter_BM9,Burkholderia_RCH25,-1,,,62,Dyadobacter_BM9,Burkholderia_RCH25,-2,,,-1,-2,1,CloseEnough,,,,
63,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,,,63,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
64,Dyadobacter_BM9,Chryseobacterium_SCH11,0,,,64,Dyadobacter_BM9,Chryseobacterium_SCH11,0,,,0,0,0,Identical,,,,
65,Dyadobacter_BM9,Dyadobacter_BM9,0,,,65,Dyadobacter_BM9,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
66,Dyadobacter_BM9,Ensifer_sp,0,,,66,Dyadobacter_BM9,Ensifer_BM17,0,,,0,0,0,Identical,,,,
67,Dyadobacter_BM9,Exiguobacterium_RDH25,0,,,67,Dyadobacter_BM9,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
68,Dyadobacter_BM9,Luteibacter_BM7,-2,,,68,Dyadobacter_BM9,Luteibacter_BM7,0,,,-2,0,2,CloseEnough,,,,
69,Dyadobacter_BM9,Methylobacterium_RPE3,0,,,69,Dyadobacter_BM9,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
70,Dyadobacter_BM9,Microbacterium_BM4,0,,,70,Dyadobacter_BM9,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
71,Dyadobacter_BM9,Paenibacillus_E12,-2,,,71,Dyadobacter_BM9,Paenibacillus_E12,-3,,,-2,-3,1,CloseEnough,,,,
72,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,,,72,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
73,Dyadobacter_BM9,Sphingobium_Z2,0,,,73,Dyadobacter_BM9,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
74,Dyadobacter_BM9,Streptomyces_RCH20P,-2,,,74,Dyadobacter_BM9,Streptomyces_RCH20P,-4,,,-2,-4,2,CloseEnough,,,,
75,Dyadobacter_BM9,Variovax_RPC5,0,,,75,Dyadobacter_BM9,Variovax_RPC5,0,,,0,0,0,Identical,,,,
76,Ensifer_sp,Bacillus_SCH24,NA,,,76,Ensifer_BM17,Bacillus_SCH24,0,,,NA,0,NA,NA,,,,
77,Ensifer_sp,Burkholderia_RCH25,-1,,,77,Ensifer_BM17,Burkholderia_RCH25,-1,,,-1,-1,0,Identical,,,,
78,Ensifer_sp,Cellulosimicrobium_BM1,NA,,,78,Ensifer_BM17,Cellulosimicrobium_BM1,0,,,NA,0,NA,NA,,,,
79,Ensifer_sp,Chryseobacterium_SCH11,NA,,,79,Ensifer_BM17,Chryseobacterium_SCH11,-6,,,NA,-6,NA,NA,,,,
80,Ensifer_sp,Dyadobacter_BM9,NA,,,80,Ensifer_BM17,Dyadobacter_BM9,0,,,NA,0,NA,NA,,,,
81,Ensifer_sp,Ensifer_sp,0,,,81,Ensifer_BM17,Ensifer_BM17,1,,,0,1,1,OneStim,,,,
82,Ensifer_sp,Exiguobacterium_RDH25,NA,,,82,Ensifer_BM17,Exiguobacterium_RDH25,0,,,NA,0,NA,NA,,,,
83,Ensifer_sp,Luteibacter_BM7,0,,,83,Ensifer_BM17,Luteibacter_BM7,1,,,0,1,1,OneStim,,,,
84,Ensifer_sp,Methylobacterium_RPE3,NA,,,84,Ensifer_BM17,Methylobacterium_RPE3,0,,,NA,0,NA,NA,,,,
85,Ensifer_sp,Microbacterium_BM4,NA,,,85,Ensifer_BM17,Microbacterium_BM4,0,,,NA,0,NA,NA,,,,
86,Ensifer_sp,Paenibacillus_E12,NA,,,86,Ensifer_BM17,Paenibacillus_E12,3,,,NA,3,NA,NA,,,,
87,Ensifer_sp,Pseudomonas_putida_KT2442,1,,,87,Ensifer_BM17,Pseudomonas_putida_KT2442,2,,,1,2,1,CloseEnough,,,,
88,Ensifer_sp,Sphingobium_Z2,NA,,,88,Ensifer_BM17,Sphingobium_Z2,0,,,NA,0,NA,NA,,,,
89,Ensifer_sp,Streptomyces_RCH20P,NA,,,89,Ensifer_BM17,Streptomyces_RCH20P,0,,,NA,0,NA,NA,,,,
90,Ensifer_sp,Variovax_RPC5,NA,,,90,Ensifer_BM17,Variovax_RPC5,0,,,NA,0,NA,NA,,,,
91,Exiguobacterium_RDH25,Bacillus_SCH24,-3,,,91,Exiguobacterium_RDH25,Bacillus_SCH24,-2,,,-3,-2,1,CloseEnough,,,,
92,Exiguobacterium_RDH25,Burkholderia_RCH25,0,,,92,Exiguobacterium_RDH25,Burkholderia_RCH25,1,,,0,1,1,OneStim,,,,
93,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,,,93,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
94,Exiguobacterium_RDH25,Chryseobacterium_SCH11,0,,,94,Exiguobacterium_RDH25,Chryseobacterium_SCH11,-2,,,0,-2,2,CloseEnough,,,,
95,Exiguobacterium_RDH25,Dyadobacter_BM9,0,,,95,Exiguobacterium_RDH25,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
96,Exiguobacterium_RDH25,Ensifer_sp,0,,,96,Exiguobacterium_RDH25,Ensifer_BM17,0,,,0,0,0,Identical,,,,
97,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,,,97,Exiguobacterium_RDH25,Exiguobacterium_RDH25,-1,,,0,-1,1,CloseEnough,,,,
98,Exiguobacterium_RDH25,Luteibacter_BM7,0,,,98,Exiguobacterium_RDH25,Luteibacter_BM7,1,,,0,1,1,OneStim,,,,
99,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,,,99,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
100,Exiguobacterium_RDH25,Microbacterium_BM4,0,,,100,Exiguobacterium_RDH25,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
101,Exiguobacterium_RDH25,Paenibacillus_E12,0,,,101,Exiguobacterium_RDH25,Paenibacillus_E12,0,,,0,0,0,Identical,,,,
102,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,0,,,102,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,1,,,0,1,1,OneStim,,,,
103,Exiguobacterium_RDH25,Sphingobium_Z2,0,,,103,Exiguobacterium_RDH25,Sphingobium_Z2,1,,,0,1,1,OneStim,,,,
104,Exiguobacterium_RDH25,Streptomyces_RCH20P,0,,,104,Exiguobacterium_RDH25,Streptomyces_RCH20P,-2,,,0,-2,2,CloseEnough,,,,
105,Exiguobacterium_RDH25,Variovax_RPC5,0,,,105,Exiguobacterium_RDH25,Variovax_RPC5,0,,,0,0,0,Identical,,,,
106,Luteibacter_BM7,Bacillus_SCH24,0,,,106,Luteibacter_BM7,Bacillus_SCH24,0,,,0,0,0,Identical,,,,
107,Luteibacter_BM7,Burkholderia_RCH25,-2,,,107,Luteibacter_BM7,Burkholderia_RCH25,-1,,,-2,-1,1,CloseEnough,,,,
108,Luteibacter_BM7,Cellulosimicrobium_BM1,0,,,108,Luteibacter_BM7,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
109,Luteibacter_BM7,Chryseobacterium_SCH11,-1,,,109,Luteibacter_BM7,Chryseobacterium_SCH11,-2,,,-1,-2,1,CloseEnough,,,,
110,Luteibacter_BM7,Dyadobacter_BM9,0,,,110,Luteibacter_BM7,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
111,Luteibacter_BM7,Ensifer_sp,0,,,111,Luteibacter_BM7,Ensifer_BM17,0,,,0,0,0,Identical,,,,
112,Luteibacter_BM7,Exiguobacterium_RDH25,0,,,112,Luteibacter_BM7,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
113,Luteibacter_BM7,Luteibacter_BM7,0,,,113,Luteibacter_BM7,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
114,Luteibacter_BM7,Methylobacterium_RPE3,0,,,114,Luteibacter_BM7,Methylobacterium_RPE3,-1,,,0,-1,1,CloseEnough,,,,
115,Luteibacter_BM7,Microbacterium_BM4,0,,,115,Luteibacter_BM7,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
116,Luteibacter_BM7,Paenibacillus_E12,-1,,,116,Luteibacter_BM7,Paenibacillus_E12,-1,,,-1,-1,0,Identical,,,,
117,Luteibacter_BM7,Pseudomonas_putida_KT2442,-1,,,117,Luteibacter_BM7,Pseudomonas_putida_KT2442,0,,,-1,0,1,CloseEnough,,,,
118,Luteibacter_BM7,Sphingobium_Z2,NA,,,118,Luteibacter_BM7,Sphingobium_Z2,0,,,NA,0,NA,NA,,,,
119,Luteibacter_BM7,Streptomyces_RCH20P,NA,,,119,Luteibacter_BM7,Streptomyces_RCH20P,-2,,,NA,-2,NA,NA,,,,
120,Luteibacter_BM7,Variovax_RPC5,1,,,120,Luteibacter_BM7,Variovax_RPC5,0,,,1,0,1,OneStim,,,,
121,Methylobacterium_RPE3,Bacillus_SCH24,-10,,,121,Methylobacterium_RPE3,Bacillus_SCH24,0,,,-10,0,10,BigDiff,,,,
122,Methylobacterium_RPE3,Burkholderia_RCH25,-4,,,122,Methylobacterium_RPE3,Burkholderia_RCH25,-1,,,-4,-1,3,CloseEnough,,,,
123,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,,,123,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
124,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,,,124,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,,,0,0,0,Identical,,,,
125,Methylobacterium_RPE3,Dyadobacter_BM9,0,,,125,Methylobacterium_RPE3,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
126,Methylobacterium_RPE3,Ensifer_sp,0,,,126,Methylobacterium_RPE3,Ensifer_BM17,0,,,0,0,0,Identical,,,,
127,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,,,127,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
128,Methylobacterium_RPE3,Luteibacter_BM7,0,,,128,Methylobacterium_RPE3,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
129,Methylobacterium_RPE3,Methylobacterium_RPE3,0,,,129,Methylobacterium_RPE3,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
130,Methylobacterium_RPE3,Microbacterium_BM4,0,,,130,Methylobacterium_RPE3,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
131,Methylobacterium_RPE3,Paenibacillus_E12,0,,,131,Methylobacterium_RPE3,Paenibacillus_E12,0,,,0,0,0,Identical,,,,
132,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,0,,,132,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
133,Methylobacterium_RPE3,Sphingobium_Z2,0,,,133,Methylobacterium_RPE3,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
134,Methylobacterium_RPE3,Streptomyces_RCH20P,-1,,,134,Methylobacterium_RPE3,Streptomyces_RCH20P,0,,,-1,0,1,CloseEnough,,,,
135,Methylobacterium_RPE3,Variovax_RPC5,-2,,,135,Methylobacterium_RPE3,Variovax_RPC5,0,,,-2,0,2,CloseEnough,,,,
136,Microbacterium_BM4,Bacillus_SCH24,NA,,,136,Microbacterium_BM4,Bacillus_SCH24,-3,,,NA,-3,NA,NA,,,,
137,Microbacterium_BM4,Burkholderia_RCH25,-2,,,137,Microbacterium_BM4,Burkholderia_RCH25,-2,,,-2,-2,0,Identical,,,,
138,Microbacterium_BM4,Cellulosimicrobium_BM1,NA,,,138,Microbacterium_BM4,Cellulosimicrobium_BM1,-1,,,NA,-1,NA,NA,,,,
139,Microbacterium_BM4,Chryseobacterium_SCH11,NA,,,139,Microbacterium_BM4,Chryseobacterium_SCH11,-1,,,NA,-1,NA,NA,,,,
140,Microbacterium_BM4,Dyadobacter_BM9,NA,,,140,Microbacterium_BM4,Dyadobacter_BM9,0,,,NA,0,NA,NA,,,,
141,Microbacterium_BM4,Ensifer_sp,-2,,,141,Microbacterium_BM4,Ensifer_BM17,-1,,,-2,-1,1,CloseEnough,,,,
142,Microbacterium_BM4,Exiguobacterium_RDH25,NA,,,142,Microbacterium_BM4,Exiguobacterium_RDH25,-1,,,NA,-1,NA,NA,,,,
143,Microbacterium_BM4,Luteibacter_BM7,0,,,143,Microbacterium_BM4,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
144,Microbacterium_BM4,Methylobacterium_RPE3,NA,,,144,Microbacterium_BM4,Methylobacterium_RPE3,0,,,NA,0,NA,NA,,,,
145,Microbacterium_BM4,Microbacterium_BM4,NA,,,145,Microbacterium_BM4,Microbacterium_BM4,0,,,NA,0,NA,NA,,,,
146,Microbacterium_BM4,Paenibacillus_E12,NA,,,146,Microbacterium_BM4,Paenibacillus_E12,-4,,,NA,-4,NA,NA,,,,
147,Microbacterium_BM4,Pseudomonas_putida_KT2442,0,,,147,Microbacterium_BM4,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
148,Microbacterium_BM4,Sphingobium_Z2,NA,,,148,Microbacterium_BM4,Sphingobium_Z2,0,,,NA,0,NA,NA,,,,
149,Microbacterium_BM4,Streptomyces_RCH20P,NA,,,149,Microbacterium_BM4,Streptomyces_RCH20P,-7,,,NA,-7,NA,NA,,,,
150,Microbacterium_BM4,Variovax_RPC5,NA,,,150,Microbacterium_BM4,Variovax_RPC5,0,,,NA,0,NA,NA,,,,
151,Paenibacillus_E12,Bacillus_SCH24,-2,,,151,Paenibacillus_E12,Bacillus_SCH24,-1,,,-2,-1,1,CloseEnough,,,,
152,Paenibacillus_E12,Burkholderia_RCH25,-1,,,152,Paenibacillus_E12,Burkholderia_RCH25,3,,,-1,3,4,FLIP,,,,
153,Paenibacillus_E12,Cellulosimicrobium_BM1,0,,,153,Paenibacillus_E12,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
154,Paenibacillus_E12,Chryseobacterium_SCH11,-1,,,154,Paenibacillus_E12,Chryseobacterium_SCH11,-3,,,-1,-3,2,CloseEnough,,,,
155,Paenibacillus_E12,Dyadobacter_BM9,0,,,155,Paenibacillus_E12,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
156,Paenibacillus_E12,Ensifer_sp,0,,,156,Paenibacillus_E12,Ensifer_BM17,0,,,0,0,0,Identical,,,,
157,Paenibacillus_E12,Exiguobacterium_RDH25,0,,,157,Paenibacillus_E12,Exiguobacterium_RDH25,-1,,,0,-1,1,CloseEnough,,,,
158,Paenibacillus_E12,Luteibacter_BM7,0,,,158,Paenibacillus_E12,Luteibacter_BM7,0,,,0,0,0,Identical,,,,
159,Paenibacillus_E12,Methylobacterium_RPE3,0,,,159,Paenibacillus_E12,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
160,Paenibacillus_E12,Microbacterium_BM4,0,,,160,Paenibacillus_E12,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
161,Paenibacillus_E12,Paenibacillus_E12,-1,,,161,Paenibacillus_E12,Paenibacillus_E12,0,,,-1,0,1,CloseEnough,,,,
162,Paenibacillus_E12,Pseudomonas_putida_KT2442,0,,,162,Paenibacillus_E12,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
163,Paenibacillus_E12,Sphingobium_Z2,0,,,163,Paenibacillus_E12,Sphingobium_Z2,1,,,0,1,1,OneStim,,,,
164,Paenibacillus_E12,Streptomyces_RCH20P,-3,,,164,Paenibacillus_E12,Streptomyces_RCH20P,-4,,,-3,-4,1,CloseEnough,,,,
165,Paenibacillus_E12,Variovax_RPC5,0,,,165,Paenibacillus_E12,Variovax_RPC5,0,,,0,0,0,Identical,,,,
166,Pseudomonas_putida_KT2442,Bacillus_SCH24,0,,,166,Pseudomonas_putida_KT2442,Bacillus_SCH24,0,,,0,0,0,Identical,,,,
167,Pseudomonas_putida_KT2442,Burkholderia_RCH25,0,,,167,Pseudomonas_putida_KT2442,Burkholderia_RCH25,-1,,,0,-1,1,CloseEnough,,,,
168,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,,,168,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,,,0,0,0,Identical,,,,
169,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,0,,,169,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,1,,,0,1,1,OneStim,,,,
170,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,,,170,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,,,0,0,0,Identical,,,,
171,Pseudomonas_putida_KT2442,Ensifer_sp,0,,,171,Pseudomonas_putida_KT2442,Ensifer_BM17,0,,,0,0,0,Identical,,,,
172,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,0,,,172,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,0,,,0,0,0,Identical,,,,
173,Pseudomonas_putida_KT2442,Luteibacter_BM7,1,,,173,Pseudomonas_putida_KT2442,Luteibacter_BM7,1,,,1,1,0,Identical,,,,
174,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,,,174,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,,,0,0,0,Identical,,,,
175,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,,,175,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,,,0,0,0,Identical,,,,
176,Pseudomonas_putida_KT2442,Paenibacillus_E12,0,,,176,Pseudomonas_putida_KT2442,Paenibacillus_E12,1,,,0,1,1,OneStim,,,,
177,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,,,177,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,,,0,0,0,Identical,,,,
178,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,,,178,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,,,0,0,0,Identical,,,,
179,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,NA,,,179,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,0,,,NA,0,NA,NA,,,,
