,Strain_ID,name,R2A 48h Final,R2A 48h Trial,Diff,Classification,,,Strain_ID,name,R2A 48h Trial,Lawn,Spot,MediaTime,Media,Time,TrialFinal
67,Burkholderia_RCH25,Methylobacterium_RPE3,0,0,0,Identical,,,Burkholderia_RCH25,Methylobacterium_RPE3,0,Burkholderia_RCH25,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
72,Burkholderia_RCH25,Microbacterium_BM4,0,0,0,Identical,,,Burkholderia_RCH25,Microbacterium_BM4,0,Burkholderia_RCH25,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
61,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-2,-2,0,Identical,,,Burkholderia_RCH25,Pseudomonas_putida_KT2442,-2,Burkholderia_RCH25,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
68,Burkholderia_RCH25,Sphingobium_Z2,-2,0,-2,CloseEnough,,,Burkholderia_RCH25,Sphingobium_Z2,0,Burkholderia_RCH25,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
73,Burkholderia_RCH25,Streptomyces_RCH20P,-2,-3,1,CloseEnough,,,Burkholderia_RCH25,Streptomyces_RCH20P,-3,Burkholderia_RCH25,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
63,Burkholderia_RCH25,Variovax_RPC5,0,0,0,Identical,,,Burkholderia_RCH25,Variovax_RPC5,0,Burkholderia_RCH25,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
160,Cellulosimicrobium_BM1,Bacillus_SCH24,0,4,-4,Diff,,,Cellulosimicrobium_BM1,Bacillus_SCH24,4,Cellulosimicrobium_BM1,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
155,Cellulosimicrobium_BM1,Burkholderia_RCH25,-1,-4,3,CloseEnough,,,Cellulosimicrobium_BM1,Burkholderia_RCH25,-4,Cellulosimicrobium_BM1,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
161,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,0,0,Identical,,,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,0,Cellulosimicrobium_BM1,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
165,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,0,0,Identical,,,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,0,Cellulosimicrobium_BM1,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
164,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,0,0,Identical,,,Cellulosimicrobium_BM1,Dyadobacter_BM9,0,Cellulosimicrobium_BM1,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
156,Cellulosimicrobium_BM1,Ensifer_sp,0,0,0,Identical,,,Cellulosimicrobium_BM1,Ensifer_sp,0,Cellulosimicrobium_BM1,Ensifer_sp,R2A-48h,R2A,48h,Rep1
159,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,-1,-1,0,Identical,,,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,-1,Cellulosimicrobium_BM1,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
152,Cellulosimicrobium_BM1,Luteibacter_BM7,0,0,0,Identical,,,Cellulosimicrobium_BM1,Luteibacter_BM7,0,Cellulosimicrobium_BM1,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
154,Cellulosimicrobium_BM1,Massilia_sp,0,-1,1,CloseEnough,,,Cellulosimicrobium_BM1,Massilia_sp,-1,Cellulosimicrobium_BM1,Massilia_sp,R2A-48h,R2A,48h,Rep1
157,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,0,0,Identical,,,Cellulosimicrobium_BM1,Methylobacterium_RPE3,0,Cellulosimicrobium_BM1,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
162,Cellulosimicrobium_BM1,Microbacterium_BM4,0,0,0,Identical,,,Cellulosimicrobium_BM1,Microbacterium_BM4,0,Cellulosimicrobium_BM1,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
151,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,0,1,-1,CloseEnough,,,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,1,Cellulosimicrobium_BM1,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
158,Cellulosimicrobium_BM1,Sphingobium_Z2,0,0,0,Identical,,,Cellulosimicrobium_BM1,Sphingobium_Z2,0,Cellulosimicrobium_BM1,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
163,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-4,-4,0,Identical,,,Cellulosimicrobium_BM1,Streptomyces_RCH20P,-4,Cellulosimicrobium_BM1,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
153,Cellulosimicrobium_BM1,Variovax_RPC5,0,-3,3,CloseEnough,,,Cellulosimicrobium_BM1,Variovax_RPC5,-3,Cellulosimicrobium_BM1,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
220,Chryseobacterium_SCH11,Bacillus_SCH24,0,-2,2,CloseEnough,,,Chryseobacterium_SCH11,Bacillus_SCH24,-2,Chryseobacterium_SCH11,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
215,Chryseobacterium_SCH11,Burkholderia_RCH25,-1,-2,1,CloseEnough,,,Chryseobacterium_SCH11,Burkholderia_RCH25,-2,Chryseobacterium_SCH11,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
221,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,0,0,Identical,,,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,0,Chryseobacterium_SCH11,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
225,Chryseobacterium_SCH11,Chryseobacterium_SCH11,-1,0,-1,CloseEnough,,,Chryseobacterium_SCH11,Chryseobacterium_SCH11,0,Chryseobacterium_SCH11,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
224,Chryseobacterium_SCH11,Dyadobacter_BM9,-1,0,-1,CloseEnough,,,Chryseobacterium_SCH11,Dyadobacter_BM9,0,Chryseobacterium_SCH11,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
216,Chryseobacterium_SCH11,Ensifer_sp,0,0,0,Identical,,,Chryseobacterium_SCH11,Ensifer_sp,0,Chryseobacterium_SCH11,Ensifer_sp,R2A-48h,R2A,48h,Rep1
219,Chryseobacterium_SCH11,Exiguobacterium_RDH25,-1,-1,0,Identical,,,Chryseobacterium_SCH11,Exiguobacterium_RDH25,-1,Chryseobacterium_SCH11,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
212,Chryseobacterium_SCH11,Luteibacter_BM7,0,0,0,Identical,,,Chryseobacterium_SCH11,Luteibacter_BM7,0,Chryseobacterium_SCH11,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
214,Chryseobacterium_SCH11,Massilia_sp,-1,-1,0,Identical,,,Chryseobacterium_SCH11,Massilia_sp,-1,Chryseobacterium_SCH11,Massilia_sp,R2A-48h,R2A,48h,Rep1
217,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,0,0,Identical,,,Chryseobacterium_SCH11,Methylobacterium_RPE3,0,Chryseobacterium_SCH11,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
222,Chryseobacterium_SCH11,Microbacterium_BM4,0,0,0,Identical,,,Chryseobacterium_SCH11,Microbacterium_BM4,0,Chryseobacterium_SCH11,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
211,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,-1,-1,0,Identical,,,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,-1,Chryseobacterium_SCH11,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
218,Chryseobacterium_SCH11,Sphingobium_Z2,0,-1,1,CloseEnough,,,Chryseobacterium_SCH11,Sphingobium_Z2,-1,Chryseobacterium_SCH11,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
223,Chryseobacterium_SCH11,Streptomyces_RCH20P,-1,-1,0,Identical,,,Chryseobacterium_SCH11,Streptomyces_RCH20P,-1,Chryseobacterium_SCH11,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
213,Chryseobacterium_SCH11,Variovax_RPC5,0,0,0,Identical,,,Chryseobacterium_SCH11,Variovax_RPC5,0,Chryseobacterium_SCH11,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
205,Dyadobacter_BM9,Bacillus_SCH24,0,0,0,Identical,,,Dyadobacter_BM9,Bacillus_SCH24,0,Dyadobacter_BM9,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
200,Dyadobacter_BM9,Burkholderia_RCH25,-4,-5,1,CloseEnough,,,Dyadobacter_BM9,Burkholderia_RCH25,-5,Dyadobacter_BM9,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
206,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,0,0,Identical,,,Dyadobacter_BM9,Cellulosimicrobium_BM1,0,Dyadobacter_BM9,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
210,Dyadobacter_BM9,Chryseobacterium_SCH11,0,0,0,Identical,,,Dyadobacter_BM9,Chryseobacterium_SCH11,0,Dyadobacter_BM9,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
209,Dyadobacter_BM9,Dyadobacter_BM9,0,0,0,Identical,,,Dyadobacter_BM9,Dyadobacter_BM9,0,Dyadobacter_BM9,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
201,Dyadobacter_BM9,Ensifer_sp,0,0,0,Identical,,,Dyadobacter_BM9,Ensifer_sp,0,Dyadobacter_BM9,Ensifer_sp,R2A-48h,R2A,48h,Rep1
204,Dyadobacter_BM9,Exiguobacterium_RDH25,-1,0,-1,CloseEnough,,,Dyadobacter_BM9,Exiguobacterium_RDH25,0,Dyadobacter_BM9,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
197,Dyadobacter_BM9,Luteibacter_BM7,0,0,0,Identical,,,Dyadobacter_BM9,Luteibacter_BM7,0,Dyadobacter_BM9,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
199,Dyadobacter_BM9,Massilia_sp,0,0,0,Identical,,,Dyadobacter_BM9,Massilia_sp,0,Dyadobacter_BM9,Massilia_sp,R2A-48h,R2A,48h,Rep1
202,Dyadobacter_BM9,Methylobacterium_RPE3,0,0,0,Identical,,,Dyadobacter_BM9,Methylobacterium_RPE3,0,Dyadobacter_BM9,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
207,Dyadobacter_BM9,Microbacterium_BM4,-1,0,-1,CloseEnough,,,Dyadobacter_BM9,Microbacterium_BM4,0,Dyadobacter_BM9,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
196,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,0,0,Identical,,,Dyadobacter_BM9,Pseudomonas_putida_KT2442,0,Dyadobacter_BM9,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
203,Dyadobacter_BM9,Sphingobium_Z2,0,0,0,Identical,,,Dyadobacter_BM9,Sphingobium_Z2,0,Dyadobacter_BM9,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
208,Dyadobacter_BM9,Streptomyces_RCH20P,-5,-2,-3,CloseEnough,,,Dyadobacter_BM9,Streptomyces_RCH20P,-2,Dyadobacter_BM9,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
198,Dyadobacter_BM9,Variovax_RPC5,0,0,0,Identical,,,Dyadobacter_BM9,Variovax_RPC5,0,Dyadobacter_BM9,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
85,Ensifer_sp,Bacillus_SCH24,-5,-4,-1,CloseEnough,,,Ensifer_sp,Bacillus_SCH24,-4,Ensifer_sp,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
80,Ensifer_sp,Burkholderia_RCH25,-3,-5,2,CloseEnough,,,Ensifer_sp,Burkholderia_RCH25,-5,Ensifer_sp,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
86,Ensifer_sp,Cellulosimicrobium_BM1,-1,2,-3,FLIP,,,Ensifer_sp,Cellulosimicrobium_BM1,2,Ensifer_sp,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
90,Ensifer_sp,Chryseobacterium_SCH11,0,-3,3,OneZero,,,Ensifer_sp,Chryseobacterium_SCH11,-3,Ensifer_sp,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
89,Ensifer_sp,Dyadobacter_BM9,0,0,0,Identical,,,Ensifer_sp,Dyadobacter_BM9,0,Ensifer_sp,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
81,Ensifer_sp,Ensifer_sp,-2,0,-2,CloseEnough,,,Ensifer_sp,Ensifer_sp,0,Ensifer_sp,Ensifer_sp,R2A-48h,R2A,48h,Rep1
84,Ensifer_sp,Exiguobacterium_RDH25,0,1,-1,CloseEnough,,,Ensifer_sp,Exiguobacterium_RDH25,1,Ensifer_sp,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
77,Ensifer_sp,Luteibacter_BM7,0,2,-2,CloseEnough,,,Ensifer_sp,Luteibacter_BM7,2,Ensifer_sp,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
79,Ensifer_sp,Massilia_sp,3,0,3,OneZero,,,Ensifer_sp,Massilia_sp,0,Ensifer_sp,Massilia_sp,R2A-48h,R2A,48h,Rep1
82,Ensifer_sp,Methylobacterium_RPE3,0,0,0,Identical,,,Ensifer_sp,Methylobacterium_RPE3,0,Ensifer_sp,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
87,Ensifer_sp,Microbacterium_BM4,-2,0,-2,CloseEnough,,,Ensifer_sp,Microbacterium_BM4,0,Ensifer_sp,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
76,Ensifer_sp,Pseudomonas_putida_KT2442,-1,-3,2,CloseEnough,,,Ensifer_sp,Pseudomonas_putida_KT2442,-3,Ensifer_sp,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
83,Ensifer_sp,Sphingobium_Z2,4,-1,5,FLIP,,,Ensifer_sp,Sphingobium_Z2,-1,Ensifer_sp,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
88,Ensifer_sp,Streptomyces_RCH20P,-1,0,-1,CloseEnough,,,Ensifer_sp,Streptomyces_RCH20P,0,Ensifer_sp,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
78,Ensifer_sp,Variovax_RPC5,0,-4,4,OneZero,,,Ensifer_sp,Variovax_RPC5,-4,Ensifer_sp,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
130,Exiguobacterium_RDH25,Bacillus_SCH24,-1,-3,2,CloseEnough,,,Exiguobacterium_RDH25,Bacillus_SCH24,-3,Exiguobacterium_RDH25,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
125,Exiguobacterium_RDH25,Burkholderia_RCH25,0,-1,1,CloseEnough,,,Exiguobacterium_RDH25,Burkholderia_RCH25,-1,Exiguobacterium_RDH25,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
131,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,0,0,Identical,,,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
135,Exiguobacterium_RDH25,Chryseobacterium_SCH11,1,0,1,CloseEnough,,,Exiguobacterium_RDH25,Chryseobacterium_SCH11,0,Exiguobacterium_RDH25,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
134,Exiguobacterium_RDH25,Dyadobacter_BM9,0,0,0,Identical,,,Exiguobacterium_RDH25,Dyadobacter_BM9,0,Exiguobacterium_RDH25,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
126,Exiguobacterium_RDH25,Ensifer_sp,0,0,0,Identical,,,Exiguobacterium_RDH25,Ensifer_sp,0,Exiguobacterium_RDH25,Ensifer_sp,R2A-48h,R2A,48h,Rep1
129,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,0,0,Identical,,,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
122,Exiguobacterium_RDH25,Luteibacter_BM7,0,0,0,Identical,,,Exiguobacterium_RDH25,Luteibacter_BM7,0,Exiguobacterium_RDH25,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
124,Exiguobacterium_RDH25,Massilia_sp,0,0,0,Identical,,,Exiguobacterium_RDH25,Massilia_sp,0,Exiguobacterium_RDH25,Massilia_sp,R2A-48h,R2A,48h,Rep1
127,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,0,0,Identical,,,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,Exiguobacterium_RDH25,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
132,Exiguobacterium_RDH25,Microbacterium_BM4,0,0,0,Identical,,,Exiguobacterium_RDH25,Microbacterium_BM4,0,Exiguobacterium_RDH25,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
121,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,-1,-3,2,CloseEnough,,,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,-3,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
128,Exiguobacterium_RDH25,Sphingobium_Z2,0,-2,2,CloseEnough,,,Exiguobacterium_RDH25,Sphingobium_Z2,-2,Exiguobacterium_RDH25,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
133,Exiguobacterium_RDH25,Streptomyces_RCH20P,-1,-1,0,Identical,,,Exiguobacterium_RDH25,Streptomyces_RCH20P,-1,Exiguobacterium_RDH25,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
123,Exiguobacterium_RDH25,Variovax_RPC5,0,0,0,Identical,,,Exiguobacterium_RDH25,Variovax_RPC5,0,Exiguobacterium_RDH25,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
25,Luteibacter_BM7,Bacillus_SCH24,0,0,0,Identical,,,Luteibacter_BM7,Bacillus_SCH24,0,Luteibacter_BM7,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
20,Luteibacter_BM7,Burkholderia_RCH25,-4,-3,-1,CloseEnough,,,Luteibacter_BM7,Burkholderia_RCH25,-3,Luteibacter_BM7,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
26,Luteibacter_BM7,Cellulosimicrobium_BM1,0,0,0,Identical,,,Luteibacter_BM7,Cellulosimicrobium_BM1,0,Luteibacter_BM7,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
30,Luteibacter_BM7,Chryseobacterium_SCH11,0,0,0,Identical,,,Luteibacter_BM7,Chryseobacterium_SCH11,0,Luteibacter_BM7,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
29,Luteibacter_BM7,Dyadobacter_BM9,0,0,0,Identical,,,Luteibacter_BM7,Dyadobacter_BM9,0,Luteibacter_BM7,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
21,Luteibacter_BM7,Ensifer_sp,0,0,0,Identical,,,Luteibacter_BM7,Ensifer_sp,0,Luteibacter_BM7,Ensifer_sp,R2A-48h,R2A,48h,Rep1
24,Luteibacter_BM7,Exiguobacterium_RDH25,0,0,0,Identical,,,Luteibacter_BM7,Exiguobacterium_RDH25,0,Luteibacter_BM7,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Rep1
17,Luteibacter_BM7,Luteibacter_BM7,0,0,0,Identical,,,Luteibacter_BM7,Luteibacter_BM7,0,Luteibacter_BM7,Luteibacter_BM7,R2A-48h,R2A,48h,Rep1
19,Luteibacter_BM7,Massilia_sp,-4,-1,-3,CloseEnough,,,Luteibacter_BM7,Massilia_sp,-1,Luteibacter_BM7,Massilia_sp,R2A-48h,R2A,48h,Rep1
22,Luteibacter_BM7,Methylobacterium_RPE3,0,0,0,Identical,,,Luteibacter_BM7,Methylobacterium_RPE3,0,Luteibacter_BM7,Methylobacterium_RPE3,R2A-48h,R2A,48h,Rep1
27,Luteibacter_BM7,Microbacterium_BM4,0,0,0,Identical,,,Luteibacter_BM7,Microbacterium_BM4,0,Luteibacter_BM7,Microbacterium_BM4,R2A-48h,R2A,48h,Rep1
16,Luteibacter_BM7,Pseudomonas_putida_KT2442,-1,-3,2,CloseEnough,,,Luteibacter_BM7,Pseudomonas_putida_KT2442,-3,Luteibacter_BM7,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Rep1
23,Luteibacter_BM7,Sphingobium_Z2,0,-1,1,CloseEnough,,,Luteibacter_BM7,Sphingobium_Z2,-1,Luteibacter_BM7,Sphingobium_Z2,R2A-48h,R2A,48h,Rep1
28,Luteibacter_BM7,Streptomyces_RCH20P,0,-1,1,CloseEnough,,,Luteibacter_BM7,Streptomyces_RCH20P,-1,Luteibacter_BM7,Streptomyces_RCH20P,R2A-48h,R2A,48h,Rep1
18,Luteibacter_BM7,Variovax_RPC5,0,-3,3,OneZero,,,Luteibacter_BM7,Variovax_RPC5,-3,Luteibacter_BM7,Variovax_RPC5,R2A-48h,R2A,48h,Rep1
55,Massilia_sp,Bacillus_SCH24,-1,-1,0,Identical,,,Massilia_sp,Bacillus_SCH24,-1,Massilia_sp,Bacillus_SCH24,R2A-48h,R2A,48h,Rep1
50,Massilia_sp,Burkholderia_RCH25,0,-2,2,CloseEnough,,,Massilia_sp,Burkholderia_RCH25,-2,Massilia_sp,Burkholderia_RCH25,R2A-48h,R2A,48h,Rep1
56,Massilia_sp,Cellulosimicrobium_BM1,0,0,0,Identical,,,Massilia_sp,Cellulosimicrobium_BM1,0,Massilia_sp,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Rep1
60,Massilia_sp,Chryseobacterium_SCH11,0,0,0,Identical,,,Massilia_sp,Chryseobacterium_SCH11,0,Massilia_sp,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Rep1
59,Massilia_sp,Dyadobacter_BM9,0,0,0,Identical,,,Massilia_sp,Dyadobacter_BM9,0,Massilia_sp,Dyadobacter_BM9,R2A-48h,R2A,48h,Rep1
51,Massilia_sp,Ensifer_sp,0,0,0,Identical,,,Massilia_sp,Ensifer_sp,0,Massilia_sp,Ensifer_sp,R2A-48h,R2A,48h,Rep1
