,Strain_ID,name,R2A 48h Trial,Lawn,Spot,MediaTime,Media,Time,TrialFinal
184,Dyadobacter_BM9,Sphingobium_Z2,0,Dyadobacter_BM9,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
182,Dyadobacter_BM9,Streptomyces_RCH20P,-2,Dyadobacter_BM9,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
185,Dyadobacter_BM9,Variovax_RPC5,0,Dyadobacter_BM9,Variovax_RPC5,R2A-48h,R2A,48h,Trial
39,Ensifer_sp,Bacillus_SCH24,-4,Ensifer_sp,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
37,Ensifer_sp,Burkholderia_RCH25,-5,Ensifer_sp,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
40,Ensifer_sp,Cellulosimicrobium_BM1,2,Ensifer_sp,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
44,Ensifer_sp,Chryseobacterium_SCH11,-3,Ensifer_sp,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
43,Ensifer_sp,Dyadobacter_BM9,0,Ensifer_sp,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
33,Ensifer_sp,Ensifer_sp,0,Ensifer_sp,Ensifer_sp,R2A-48h,R2A,48h,Trial
38,Ensifer_sp,Exiguobacterium_RDH25,1,Ensifer_sp,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
42,Ensifer_sp,Luteibacter_BM7,2,Ensifer_sp,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
36,Ensifer_sp,Massilia_sp,0,Ensifer_sp,Massilia_sp,R2A-48h,R2A,48h,Trial
45,Ensifer_sp,Methylobacterium_RPE3,0,Ensifer_sp,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
41,Ensifer_sp,Microbacterium_BM4,0,Ensifer_sp,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
31,Ensifer_sp,Pseudomonas_putida_KT2442,-3,Ensifer_sp,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
34,Ensifer_sp,Sphingobium_Z2,-1,Ensifer_sp,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
32,Ensifer_sp,Streptomyces_RCH20P,0,Ensifer_sp,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
35,Ensifer_sp,Variovax_RPC5,-4,Ensifer_sp,Variovax_RPC5,R2A-48h,R2A,48h,Trial
114,Exiguobacterium_RDH25,Bacillus_SCH24,-3,Exiguobacterium_RDH25,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
112,Exiguobacterium_RDH25,Burkholderia_RCH25,-1,Exiguobacterium_RDH25,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
115,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,0,Exiguobacterium_RDH25,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
119,Exiguobacterium_RDH25,Chryseobacterium_SCH11,0,Exiguobacterium_RDH25,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
118,Exiguobacterium_RDH25,Dyadobacter_BM9,0,Exiguobacterium_RDH25,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
108,Exiguobacterium_RDH25,Ensifer_sp,0,Exiguobacterium_RDH25,Ensifer_sp,R2A-48h,R2A,48h,Trial
113,Exiguobacterium_RDH25,Exiguobacterium_RDH25,0,Exiguobacterium_RDH25,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
117,Exiguobacterium_RDH25,Luteibacter_BM7,0,Exiguobacterium_RDH25,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
111,Exiguobacterium_RDH25,Massilia_sp,0,Exiguobacterium_RDH25,Massilia_sp,R2A-48h,R2A,48h,Trial
120,Exiguobacterium_RDH25,Methylobacterium_RPE3,0,Exiguobacterium_RDH25,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
116,Exiguobacterium_RDH25,Microbacterium_BM4,0,Exiguobacterium_RDH25,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
106,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,-3,Exiguobacterium_RDH25,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
109,Exiguobacterium_RDH25,Sphingobium_Z2,-2,Exiguobacterium_RDH25,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
107,Exiguobacterium_RDH25,Streptomyces_RCH20P,-1,Exiguobacterium_RDH25,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
110,Exiguobacterium_RDH25,Variovax_RPC5,0,Exiguobacterium_RDH25,Variovax_RPC5,R2A-48h,R2A,48h,Trial
174,Luteibacter_BM7,Bacillus_SCH24,0,Luteibacter_BM7,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
172,Luteibacter_BM7,Burkholderia_RCH25,-3,Luteibacter_BM7,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
175,Luteibacter_BM7,Cellulosimicrobium_BM1,0,Luteibacter_BM7,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
179,Luteibacter_BM7,Chryseobacterium_SCH11,0,Luteibacter_BM7,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
178,Luteibacter_BM7,Dyadobacter_BM9,0,Luteibacter_BM7,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
168,Luteibacter_BM7,Ensifer_sp,0,Luteibacter_BM7,Ensifer_sp,R2A-48h,R2A,48h,Trial
173,Luteibacter_BM7,Exiguobacterium_RDH25,0,Luteibacter_BM7,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
177,Luteibacter_BM7,Luteibacter_BM7,0,Luteibacter_BM7,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
171,Luteibacter_BM7,Massilia_sp,-1,Luteibacter_BM7,Massilia_sp,R2A-48h,R2A,48h,Trial
180,Luteibacter_BM7,Methylobacterium_RPE3,0,Luteibacter_BM7,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
176,Luteibacter_BM7,Microbacterium_BM4,0,Luteibacter_BM7,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
166,Luteibacter_BM7,Pseudomonas_putida_KT2442,-3,Luteibacter_BM7,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
169,Luteibacter_BM7,Sphingobium_Z2,-1,Luteibacter_BM7,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
167,Luteibacter_BM7,Streptomyces_RCH20P,-1,Luteibacter_BM7,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
170,Luteibacter_BM7,Variovax_RPC5,-3,Luteibacter_BM7,Variovax_RPC5,R2A-48h,R2A,48h,Trial
84,Massilia_sp,Bacillus_SCH24,-1,Massilia_sp,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
82,Massilia_sp,Burkholderia_RCH25,-2,Massilia_sp,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
85,Massilia_sp,Cellulosimicrobium_BM1,0,Massilia_sp,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
89,Massilia_sp,Chryseobacterium_SCH11,0,Massilia_sp,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
88,Massilia_sp,Dyadobacter_BM9,0,Massilia_sp,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
78,Massilia_sp,Ensifer_sp,0,Massilia_sp,Ensifer_sp,R2A-48h,R2A,48h,Trial
83,Massilia_sp,Exiguobacterium_RDH25,0,Massilia_sp,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
87,Massilia_sp,Luteibacter_BM7,0,Massilia_sp,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
81,Massilia_sp,Massilia_sp,0,Massilia_sp,Massilia_sp,R2A-48h,R2A,48h,Trial
90,Massilia_sp,Methylobacterium_RPE3,0,Massilia_sp,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
86,Massilia_sp,Microbacterium_BM4,0,Massilia_sp,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
76,Massilia_sp,Pseudomonas_putida_KT2442,0,Massilia_sp,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
79,Massilia_sp,Sphingobium_Z2,0,Massilia_sp,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
77,Massilia_sp,Streptomyces_RCH20P,0,Massilia_sp,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
80,Massilia_sp,Variovax_RPC5,0,Massilia_sp,Variovax_RPC5,R2A-48h,R2A,48h,Trial
219,Methylobacterium_RPE3,Bacillus_SCH24,-10,Methylobacterium_RPE3,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
217,Methylobacterium_RPE3,Burkholderia_RCH25,-5,Methylobacterium_RPE3,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
220,Methylobacterium_RPE3,Cellulosimicrobium_BM1,0,Methylobacterium_RPE3,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
224,Methylobacterium_RPE3,Chryseobacterium_SCH11,0,Methylobacterium_RPE3,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
223,Methylobacterium_RPE3,Dyadobacter_BM9,0,Methylobacterium_RPE3,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
213,Methylobacterium_RPE3,Ensifer_sp,0,Methylobacterium_RPE3,Ensifer_sp,R2A-48h,R2A,48h,Trial
218,Methylobacterium_RPE3,Exiguobacterium_RDH25,0,Methylobacterium_RPE3,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
222,Methylobacterium_RPE3,Luteibacter_BM7,0,Methylobacterium_RPE3,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
216,Methylobacterium_RPE3,Massilia_sp,-1,Methylobacterium_RPE3,Massilia_sp,R2A-48h,R2A,48h,Trial
225,Methylobacterium_RPE3,Methylobacterium_RPE3,0,Methylobacterium_RPE3,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
221,Methylobacterium_RPE3,Microbacterium_BM4,0,Methylobacterium_RPE3,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
211,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,-2,Methylobacterium_RPE3,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
214,Methylobacterium_RPE3,Sphingobium_Z2,0,Methylobacterium_RPE3,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
212,Methylobacterium_RPE3,Streptomyces_RCH20P,-1,Methylobacterium_RPE3,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
215,Methylobacterium_RPE3,Variovax_RPC5,-2,Methylobacterium_RPE3,Variovax_RPC5,R2A-48h,R2A,48h,Trial
159,Microbacterium_BM4,Bacillus_SCH24,-5,Microbacterium_BM4,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
157,Microbacterium_BM4,Burkholderia_RCH25,-5,Microbacterium_BM4,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
160,Microbacterium_BM4,Cellulosimicrobium_BM1,0,Microbacterium_BM4,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
164,Microbacterium_BM4,Chryseobacterium_SCH11,0,Microbacterium_BM4,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
163,Microbacterium_BM4,Dyadobacter_BM9,0,Microbacterium_BM4,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
153,Microbacterium_BM4,Ensifer_sp,-3,Microbacterium_BM4,Ensifer_sp,R2A-48h,R2A,48h,Trial
158,Microbacterium_BM4,Exiguobacterium_RDH25,0,Microbacterium_BM4,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
162,Microbacterium_BM4,Luteibacter_BM7,0,Microbacterium_BM4,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
156,Microbacterium_BM4,Massilia_sp,-3,Microbacterium_BM4,Massilia_sp,R2A-48h,R2A,48h,Trial
165,Microbacterium_BM4,Methylobacterium_RPE3,0,Microbacterium_BM4,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
161,Microbacterium_BM4,Microbacterium_BM4,0,Microbacterium_BM4,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
151,Microbacterium_BM4,Pseudomonas_putida_KT2442,-4,Microbacterium_BM4,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
154,Microbacterium_BM4,Sphingobium_Z2,-4,Microbacterium_BM4,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
152,Microbacterium_BM4,Streptomyces_RCH20P,-6,Microbacterium_BM4,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
155,Microbacterium_BM4,Variovax_RPC5,-4,Microbacterium_BM4,Variovax_RPC5,R2A-48h,R2A,48h,Trial
9,Pseudomonas_putida_KT2442,Bacillus_SCH24,-1,Pseudomonas_putida_KT2442,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
7,Pseudomonas_putida_KT2442,Burkholderia_RCH25,0,Pseudomonas_putida_KT2442,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
10,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,0,Pseudomonas_putida_KT2442,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
14,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,1,Pseudomonas_putida_KT2442,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
13,Pseudomonas_putida_KT2442,Dyadobacter_BM9,0,Pseudomonas_putida_KT2442,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
3,Pseudomonas_putida_KT2442,Ensifer_sp,0,Pseudomonas_putida_KT2442,Ensifer_sp,R2A-48h,R2A,48h,Trial
8,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,-1,Pseudomonas_putida_KT2442,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
12,Pseudomonas_putida_KT2442,Luteibacter_BM7,0,Pseudomonas_putida_KT2442,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
6,Pseudomonas_putida_KT2442,Massilia_sp,0,Pseudomonas_putida_KT2442,Massilia_sp,R2A-48h,R2A,48h,Trial
15,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,0,Pseudomonas_putida_KT2442,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
11,Pseudomonas_putida_KT2442,Microbacterium_BM4,0,Pseudomonas_putida_KT2442,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
1,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,0,Pseudomonas_putida_KT2442,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
4,Pseudomonas_putida_KT2442,Sphingobium_Z2,0,Pseudomonas_putida_KT2442,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
2,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,0,Pseudomonas_putida_KT2442,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
5,Pseudomonas_putida_KT2442,Variovax_RPC5,0,Pseudomonas_putida_KT2442,Variovax_RPC5,R2A-48h,R2A,48h,Trial
54,Sphingobium_Z2,Bacillus_SCH24,-5,Sphingobium_Z2,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
52,Sphingobium_Z2,Burkholderia_RCH25,0,Sphingobium_Z2,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
55,Sphingobium_Z2,Cellulosimicrobium_BM1,0,Sphingobium_Z2,Cellulosimicrobium_BM1,R2A-48h,R2A,48h,Trial
59,Sphingobium_Z2,Chryseobacterium_SCH11,0,Sphingobium_Z2,Chryseobacterium_SCH11,R2A-48h,R2A,48h,Trial
58,Sphingobium_Z2,Dyadobacter_BM9,0,Sphingobium_Z2,Dyadobacter_BM9,R2A-48h,R2A,48h,Trial
48,Sphingobium_Z2,Ensifer_sp,0,Sphingobium_Z2,Ensifer_sp,R2A-48h,R2A,48h,Trial
53,Sphingobium_Z2,Exiguobacterium_RDH25,-5,Sphingobium_Z2,Exiguobacterium_RDH25,R2A-48h,R2A,48h,Trial
57,Sphingobium_Z2,Luteibacter_BM7,0,Sphingobium_Z2,Luteibacter_BM7,R2A-48h,R2A,48h,Trial
51,Sphingobium_Z2,Massilia_sp,-1,Sphingobium_Z2,Massilia_sp,R2A-48h,R2A,48h,Trial
60,Sphingobium_Z2,Methylobacterium_RPE3,0,Sphingobium_Z2,Methylobacterium_RPE3,R2A-48h,R2A,48h,Trial
56,Sphingobium_Z2,Microbacterium_BM4,0,Sphingobium_Z2,Microbacterium_BM4,R2A-48h,R2A,48h,Trial
46,Sphingobium_Z2,Pseudomonas_putida_KT2442,-3,Sphingobium_Z2,Pseudomonas_putida_KT2442,R2A-48h,R2A,48h,Trial
49,Sphingobium_Z2,Sphingobium_Z2,0,Sphingobium_Z2,Sphingobium_Z2,R2A-48h,R2A,48h,Trial
47,Sphingobium_Z2,Streptomyces_RCH20P,-2,Sphingobium_Z2,Streptomyces_RCH20P,R2A-48h,R2A,48h,Trial
50,Sphingobium_Z2,Variovax_RPC5,0,Sphingobium_Z2,Variovax_RPC5,R2A-48h,R2A,48h,Trial
24,Streptomyces_RCH20P,Bacillus_SCH24,-2,Streptomyces_RCH20P,Bacillus_SCH24,R2A-48h,R2A,48h,Trial
22,Streptomyces_RCH20P,Burkholderia_RCH25,-1,Streptomyces_RCH20P,Burkholderia_RCH25,R2A-48h,R2A,48h,Trial
